AUTOMATION_NAME,Flowback DateTime,Days Online,Hours Online,Hours Producing,Days Producing,PROD_OIL_HR,PROD_WTR_HR,TOTAL_GAS,GAS_24HR,Choke1,Choke2,TBG_PRESS,CSG_PRESS,PROD_SAND,CHLORIDES_PPM,FBHP
Apollo 32h,7/25/2019,0.041666667,1,1,0.041666667,0,112,0,0,18,0,0,3855,0,0,8656.74
Apollo 32h,7/25/2019,0.083333333,2,2,0.083333333,0,108,0,0,20,0,0,3855,0,0,8656.32
Apollo 32h,7/25/2019,0.125,3,3,0.125,0,110,0,0,20,0,0,3845,0,0,8646.47
Apollo 32h,7/25/2019,0.166666667,4,4,0.166666667,0,115,0,0,20,0,0,3820,0,0,8621.82
Apollo 32h,7/25/2019,0.208333333,5,5,0.208333333,0,109,0,0,20,0,0,3825,0,0,8626.23
Apollo 32h,7/25/2019,0.25,6,6,0.25,0,156,0,0,20,0,0,3825,0,0,8631.94
Apollo 32h,7/25/2019,0.291666667,7,7,0.291666667,0,161,0,0,20,0,0,3820,0,0,8627.61
Apollo 32h,7/25/2019,0.333333333,8,8,0.333333333,0,172,0,0,20,0,0,3815,0,0,8624.21
Apollo 32h,7/25/2019,0.375,9,9,0.375,0,176,0,0,20,0,0,3815,0,0,8624.82
Apollo 32h,7/25/2019,0.416666667,10,10,0.416666667,0,179,0,0,20,0,0,3810,0,0,8620.27
Apollo 32h,7/25/2019,0.458333333,11,11,0.458333333,0,180,0,0,20,0,0,3810,0,0,8620.43
Apollo 32h,7/25/2019,0.5,12,12,0.5,0,181,96,96,20,0,0,3805,0,0,8615.55
Apollo 32h,7/25/2019,0.541666667,13,13,0.541666667,0,179,91,91,20,0,0,3805,0,0,8615.24
Apollo 32h,7/25/2019,0.583333333,14,14,0.583333333,0,180,97,97,20,0,0,3800,0,0,8610.37
Apollo 32h,7/25/2019,0.625,15,15,0.625,0,178,95,95,20,0,0,3800,0,0,8610.05
Apollo 32h,7/25/2019,0.666666667,16,16,0.666666667,0,180,98,98,20,0,0,3795,0,0,8605.33
Apollo 32h,7/25/2019,0.708333333,17,17,0.708333333,0,185,144,144,20,0,0,3795,0,0,8606.12
Apollo 32h,7/25/2019,0.75,18,18,0.75,0,186,168,168,20,0,0,3790,0,0,8601.25
Apollo 32h,7/25/2019,0.791666667,19,19,0.791666667,0,187,131,131,20,0,0,3785,0.2,0,8596.38
Apollo 32h,7/25/2019,0.833333333,20,20,0.833333333,0,182,147,147,20,0,0,3785,0.2,13347,8595.57
Apollo 32h,7/25/2019,0.875,21,21,0.875,0,179,110,110,20,0,0,3785,0.2,13347,8595.11
Apollo 32h,7/25/2019,0.916666667,22,22,0.916666667,0,183,158,158,20,0,0,3780,0.2,13347,8590.7
Apollo 32h,7/25/2019,0.958333333,23,23,0.958333333,0,179,171,171,20,0,0,3780,0.2,13347,8590.08
Apollo 32h,7/26/2019,1,24,24,1,0,185,165,165,20,0,0,3775,0.2,13347,8585.99
Apollo 32h,7/26/2019,1.041666667,25,25,1.041666667,0,179,182,182,20,0,0,3775,0.2,13347,8585.05
Apollo 32h,7/26/2019,1.083333333,26,26,1.083333333,0,181,167,167,20,0,0,3775,0.2,13347,8585.35
Apollo 32h,7/26/2019,1.125,27,27,1.125,0,180,158,158,20,0,0,3770,0.2,13347,8580.17
Apollo 32h,7/26/2019,1.166666667,28,28,1.166666667,0,182,173,173,20,0,0,3770,0.2,13347,8580.47
Apollo 32h,7/26/2019,1.208333333,29,29,1.208333333,3,178,189,189,20,0,0,3765,0.5,13347,8530.22
Apollo 32h,7/26/2019,1.25,30,30,1.25,3,179,183,183,20,0,0,3765,0.5,14250,8532.11
Apollo 32h,7/26/2019,1.291666667,31,31,1.291666667,3,180,194,194,20,0,0,3760,0.5,14250,8524.94
