Wellname,Date_time,Temperature,Poly_1,SGx1000,Velocity_bph
Woody East,8/1/2019 10:27:25,87.6416,16.437,1100.014,213
Woody East,8/1/2019 10:27:27,87.6416,16.446,1100.037,213
Woody East,8/1/2019 10:27:29,87.6416,16.457,1100.214,213
Woody East,8/1/2019 10:27:31,87.6416,16.471,1100.162,213
Woody East,8/1/2019 10:27:38,87.6416,16.311,1098.946,213
Woody East,8/1/2019 10:27:40,87.6416,16.388,1099.456,213
Woody East,8/1/2019 10:27:42,87.6416,16.149,1097.88,213
Woody East,8/1/2019 10:27:44,87.6416,16.152,1097.908,213
Woody East,8/1/2019 10:27:48,87.6416,16.183,1098.709,213
Woody East,8/1/2019 10:27:50,87.6416,16.214,1098.939,213
Woody East,8/1/2019 10:27:52,87.6416,16.25,1099.3,213
Woody East,8/1/2019 10:27:54,87.6416,16.288,1099.573,213
Woody East,8/1/2019 10:27:58,87.6416,16.37,1100.082,213
Woody East,8/1/2019 10:28:00,87.6416,16.398,1099.941,213
Woody East,8/1/2019 10:28:02,87.6416,16.419,1010,213
Woody East,8/1/2019 10:28:04,87.6416,16.439,1069,213
Woody East,8/1/2019 10:28:08,87.6416,16.475,1090,213
Woody East,8/1/2019 10:28:10,87.6416,16.499,1100,213
Woody East,8/1/2019 10:28:12,87.6416,16.522,1200,213
Woody East,8/1/2019 10:28:14,87.6416,16.545,1167,213
Woody East,8/1/2019 10:32:59,87.6416,17.526,1090,213
Woody East,8/1/2019 10:33:01,87.6416,17.531,1400,213
Woody East,8/1/2019 10:33:03,87.6416,17.535,1500,213
Woody East,8/1/2019 10:33:05,87.6416,17.539,1300,213
Woody East,8/1/2019 10:33:12,87.6416,17.563,1500,213
Woody East,8/1/2019 10:33:14,87.6416,17.569,1300,213
Woody East,8/1/2019 10:33:16,87.6416,17.573,1200,213
Woody East,8/1/2019 10:33:18,87.6416,17.583,1190,213
Woody East,8/1/2019 10:33:21,87.6416,17.611,1450,213
Woody East,8/1/2019 10:33:23,87.6416,17.616,1210,213
Woody East,8/1/2019 10:33:25,87.6416,17.624,1390,213
Woody East,8/1/2019 10:33:27,87.6416,17.633,1200,213
Woody East,8/1/2019 10:33:31,87.6416,17.638,1500,213
Woody East,8/1/2019 10:33:33,87.6416,17.634,1010,213
Woody East,8/1/2019 10:33:35,87.6416,17.632,1069,213
Woody East,8/1/2019 10:33:37,87.6416,17.627,1090,213
Woody East,8/1/2019 10:33:40,87.6416,17.627,1100,213
Woody East,8/1/2019 10:33:42,87.6416,17.628,1200,213
Woody East,8/1/2019 10:33:44,87.6416,17.625,1167,213
Woody East,8/1/2019 10:33:46,87.6416,17.62,1090,213
Woody East,8/1/2019 10:33:50,87.6416,17.594,1400,213
Woody East,8/1/2019 10:33:52,87.6416,17.597,1500,213
Woody East,8/1/2019 10:33:54,87.6416,17.605,1300,213
Woody East,8/1/2019 10:33:56,87.6416,17.626,1500,213
Woody East,8/1/2019 10:34:00,87.6416,17.659,1300,213
Woody East,8/1/2019 10:34:02,87.6416,17.672,1200,213
Woody East,8/1/2019 10:34:04,87.6416,17.686,1190,213
Woody East,8/1/2019 10:34:06,87.6416,17.697,1450,213
Woody East,8/1/2019 10:34:10,87.6416,17.712,1210,213
Woody East,8/1/2019 10:34:12,87.6416,17.726,1390,213
Woody East,8/1/2019 10:34:14,87.6416,17.743,1200,213
Woody East,8/1/2019 10:34:16,87.6416,17.758,1500,213
Woody East,8/1/2019 10:34:18,87.6416,17.777,1010,213
Woody East,8/1/2019 10:34:20,87.6416,17.803,1069,213
Woody East,8/1/2019 10:34:22,87.6416,17.836,1090,213
Woody East,8/1/2019 10:34:24,87.6416,17.854,1100,213
Woody East,8/1/2019 10:34:26,87.6416,17.868,1200,213
Woody East,8/1/2019 10:34:28,87.6416,17.888,1167,213
Woody East,8/1/2019 10:34:30,87.6416,17.908,1090,213
Woody East,8/1/2019 10:34:32,87.6416,17.93,1400,213
Woody East,8/1/2019 10:34:34,87.6416,17.952,1500,213
Woody East,8/1/2019 10:34:36,87.6416,17.968,1300,213
Woody East,8/1/2019 10:34:38,87.6416,17.978,1500,213
Woody East,8/1/2019 10:34:40,87.6416,17.973,1300,213
Woody East,8/1/2019 10:34:42,87.6416,17.963,1200,213
Woody East,8/1/2019 10:34:44,87.6416,17.96,1190,213
Woody East,8/1/2019 10:34:46,87.6416,17.951,1450,213
Woody East,8/1/2019 10:34:48,87.6416,17.936,1210,213
Woody East,8/1/2019 10:34:50,87.6416,17.936,1390,213
Woody East,8/1/2019 10:34:52,87.6416,17.95,1200,213
