AUTOMATION_NAME,Flowback DateTime,Days Online,Hours Online,Hours Producing,Days Producing,PROD_OIL_HR,PROD_WTR_HR,TOTAL_GAS,GAS_24HR,Choke1,Choke2,TBG_PRESS,CSG_PRESS,PROD_SAND,CHLORIDES_PPM,FBHP
hamilton 15h,7/24/2019,0.041666667,1,1,0.041666667,0,86,0,0,18,0,0,3068,0.2,0,7448.05
hamilton 15h,7/24/2019,0.083333333,2,2,0.083333333,0,91,0,0,18,0,0,2949,0.2,0,7328.81
hamilton 15h,7/24/2019,0.125,3,3,0.125,0,94,0,0,18,0,0,2845,0.2,0,7224.49
hamilton 15h,7/24/2019,0.166666667,4,4,0.166666667,0,91,0,0,18,0,0,2772,0.2,0,7150.77
hamilton 15h,7/24/2019,0.208333333,5,5,0.208333333,0,20,456,456,20,0,0,2722,0.2,0,7096.01
hamilton 15h,7/24/2019,0.25,6,6,0.25,0,18,367,367,20,0,0,2677,0.2,0,7050.72
hamilton 15h,7/24/2019,0.291666667,7,7,0.291666667,0,10,312,312,20,0,0,2621,0.2,0,6994.19
hamilton 15h,7/24/2019,0.333333333,8,8,0.333333333,0,11,312,312,20,0,0,2569,0.2,0,6941.91
hamilton 15h,7/25/2019,0.375,9,9,0.375,0,10,96,96,20,0,0,2556,0.2,0,6928.81
hamilton 15h,7/25/2019,0.416666667,10,10,0.416666667,0,10,528,528,21,0,0,2464,0.2,0,6836.26
hamilton 15h,7/25/2019,0.458333333,11,11,0.458333333,0,11,576,576,21,0,0,2362,0.2,0,6733.7
hamilton 15h,7/25/2019,0.5,12,12,0.5,0,10,504,504,21,0,0,2254,0.2,0,6625.02
hamilton 15h,7/25/2019,0.541666667,13,13,0.541666667,0,8,336,336,21,0,0,2205,0.2,0,6575.71
hamilton 15h,7/25/2019,0.583333333,14,14,0.583333333,0,3,94,94,21,0,0,2212,0,0,6582.75
hamilton 15h,7/25/2019,0.625,15,15,0.625,0,5,144,144,23,0,0,2210,0,0,6580.72
hamilton 15h,7/25/2019,0.666666667,16,16,0.666666667,26,51,528,528,23,0,0,2085,0.2,17778,5872.38
hamilton 15h,7/25/2019,0.708333333,17,17,0.708333333,28,96,384,384,23,0,0,2227,0.2,17778,6286.96
hamilton 15h,7/25/2019,0.75,18,18,0.75,30,91,864,864,23,0,0,2219,0.2,17778,6043.94
hamilton 15h,7/25/2019,0.791666667,19,19,0.791666667,4,126,816,816,23,0,0,2145,0.2,17778,6210.37
hamilton 15h,7/25/2019,0.833333333,20,20,0.833333333,10,119,888,888,23,0,0,2127,0.2,17778,6109.36
hamilton 15h,7/25/2019,0.875,21,21,0.875,16,118,816,816,23,0,0,2122,0.2,17778,6086.38
hamilton 11h,7/5/2017,0.916666667,22,22,0.916666667,0,98,0,0,14,0,0,2400,0,0,6780.79
hamilton 11h,7/5/2017,0.958333333,23,23,0.958333333,0,108,0,0,14,0,0,2550,0,0,6933.4
hamilton 11h,7/5/2017,1,24,24,1,0,104,0,0,14,0,0,2550,0,0,6932.69
hamilton 11h,7/5/2017,1.041666667,25,25,1.041666667,0,105,0,0,14,0,0,2550,0,0,6932.87
hamilton 11h,7/5/2017,1.083333333,26,26,1.083333333,0,108,0,0,14,0,0,2550,0,0,6933.4
hamilton 11h,7/5/2017,1.125,27,27,1.125,0,92,0,0,14,0,0,2450,0,0,6830.11
hamilton 11h,7/5/2017,1.166666667,28,28,1.166666667,0,103,0,0,16,0,0,2300,0,0,6681.04
hamilton 11h,7/5/2017,1.208333333,29,29,1.208333333,0,100,0,0,16,0,0,2250,0,0,6630.24
hamilton 11h,7/6/2017,1.25,30,30,1.25,0,104,0,0,16,0,0,2250,0,0,6630.93
hamilton 11h,7/6/2017,1.291666667,31,31,1.291666667,0,99,0,0,16,0,0,2300,0,0,6680.36
hamilton 11h,7/6/2017,1.333333333,32,32,1.333333333,0,95,427,427,16,0,0,2300,0,Yes,6679.71
hamilton 11h,7/6/2017,1.375,33,33,1.375,0,81,435,435,16,0,0,2200,0,Yes,6576.99
hamilton 11h,7/6/2017,1.416666667,34,34,1.416666667,0,99,340,340,18,0,0,2200,0,Yes,6579.78
hamilton 11h,7/6/2017,1.458333333,35,35,1.458333333,0,101,406,406,18,0,0,2250,0,Yes,6630.41
hamilton 11h,7/6/2017,1.5,36,36,1.5,0,95,416,416,18,0,0,2300,0,Yes,6679.71
hamilton 11h,7/6/2017,1.541666667,37,37,1.541666667,0,103,406,406,18,0,0,2275,0,Yes,6655.9
hamilton 11h,7/6/2017,1.583333333,38,38,1.583333333,0,97,381,381,18,0,0,2250,0,Yes,6629.74
hamilton 11h,7/6/2017,1.625,39,39,1.625,0,91,308,308,18,0,0,2250,0,Yes,6628.77
hamilton 11h,7/6/2017,1.666666667,40,40,1.666666667,2,87,160,160,19,0,0,2250,0,Yes,4813.38
hamilton 11h,7/6/2017,1.708333333,41,41,1.708333333,4,92,240,240,19,0,0,2250,0,Yes,4523.76
hamilton 11h,7/6/2017,1.75,42,42,1.75,3,95,396,396,20,0,0,2260,0,Yes,4171.7
hamilton 11h,7/6/2017,1.791666667,43,43,1.791666667,6,98,352,352,20,0,0,2310,0,Yes,4366.51
hamilton 11h,7/6/2017,1.833333333,44,44,1.833333333,6,70,362,362,20,0,0,2340,0,Yes,4148.76
hamilton 11h,7/6/2017,1.875,45,45,1.875,6,75,595,595,20,0,0,2340,0,Yes,4014.67
hamilton 11h,7/6/2017,1.916666667,46,46,1.916666667,5,82,399,399,20,0,0,2340,0,Yes,4184.8
hamilton 11h,7/6/2017,1.958333333,47,47,1.958333333,4,84,437,437,20,0,0,2340,0,Yes,4138.77
hamilton 11h,7/6/2017,2,48,48,2,5,84,406,406,20,0,0,2310,0,Yes,4149.34
hamilton 11h,7/6/2017,2.041666667,49,49,2.041666667,4,83,420,420,20,0,0,2318,0,Yes,4124.66
hamilton 11h,7/6/2017,2.083333333,50,50,2.083333333,5,84,560,560,20,0,0,2315,0,Yes,4027.25
hamilton 11h,7/6/2017,2.125,51,51,2.125,10,67,532,532,20,0,0,2331,0,Yes,3962.58
hamilton 11h,7/6/2017,2.166666667,52,52,2.166666667,10,77,547,547,22,0,0,2350,0,Yes,4031.3
hamilton 11h,7/6/2017,2.208333333,53,53,2.208333333,13,80,493,493,22,0,0,2402,0,Yes,4177.85
hamilton 11h,7/7/2017,2.25,54,54,2.25,4,80,630,630,22,0,0,2423,0,Yes,4145.47
hamilton 11h,7/7/2017,2.291666667,55,55,2.291666667,3,82,673,673,22,0,0,2444,0,Yes,4185.22
hamilton 11h,7/7/2017,2.333333333,56,56,2.333333333,4,86,696,696,22,0,0,2440,0,Yes,4183.14
hamilton 11h,7/7/2017,2.375,57,57,2.375,6,85,736,736,22,0,0,2472,0,Yes,4201.89
hamilton 11h,7/7/2017,2.416666667,58,58,2.416666667,7,84,711,711,22,0,0,2478,0,Yes,4200.19
hamilton 11h,7/7/2017,2.458333333,59,59,2.458333333,11,95,877,877,22,0,0,2478,0,Yes,4220.37
hamilton 11h,7/7/2017,2.5,60,60,2.5,13,98,1130,1130,22,0,0,2471,0,Yes,4232.87
hamilton 11h,7/7/2017,2.541666667,61,61,2.541666667,11,96,989,989,22,0,0,2440,0,Yes,4183.91
hamilton 11h,7/7/2017,2.583333333,62,62,2.583333333,10,98,1068,1068,22,0,0,2400,0,Yes,4151.54
hamilton 11h,7/7/2017,2.625,63,63,2.625,14,84,1002,1002,24,0,0,2400,0,Yes,4090.79
hamilton 11h,7/7/2017,2.666666667,64,64,2.666666667,13,73,808,808,26,0,0,2390,0,Yes,4034.03
hamilton 11h,7/7/2017,2.708333333,65,65,2.708333333,14,70,941,941,26,0,0,2390,0,Yes,4023.89
hamilton 11h,7/7/2017,2.75,66,66,2.75,17,54,1607,1607,26,0,0,2470,0,Yes,4105.85
hamilton 11h,7/7/2017,2.791666667,67,67,2.791666667,23,45,1640,1640,26,0,0,2500,0,Yes,4114.09
hamilton 11h,7/7/2017,2.833333333,68,68,2.833333333,29,62,1751,1751,26,0,0,2505,0,Yes,4231.18
hamilton 11h,7/7/2017,2.875,69,69,2.875,26,65,1663,1663,26,0,0,2505,0,Yes,4221.99
hamilton 11h,7/7/2017,2.916666667,70,70,2.916666667,27,65,1585,1585,26,0,0,2505,0,Yes,4210.17
hamilton 11h,7/7/2017,2.958333333,71,71,2.958333333,24,68,1426,1426,26,0,0,2505,0,Yes,4193.73
hamilton 11h,7/7/2017,3,72,72,3,25,113,1460,1460,26,0,0,2510,0,Yes,4356.84
hamilton 11h,7/7/2017,3.041666667,73,73,3.041666667,24,111,2060,2060,26,0,0,2592,0,Yes,4570.14
hamilton 11h,7/7/2017,3.083333333,74,74,3.083333333,22,111,2020,2020,26,0,0,2594,0,Yes,4562.43
hamilton 11h,7/7/2017,3.125,75,75,3.125,22,114,2074,2074,26,0,0,2598,0,Yes,4589.69
