data_well_name,id,data_hour,data_bhp,data_tubing_psi,data_csg_psi,data_choke_size,data_sep_psi,data_oil_rate,data_water_rate,data_gas_rate,data_flowline_psi,data_chlorides,data_sand_percent,data_h2s,data_remarks,water_cut,gas_oil_ratio,total_fluid_bph,total_fluid_bpd,water_24,oil_24,calc_sqrt_time,calc_days,calc_cum_oil,calc_cum_water,calc_cum_total_fluid,calc_duration,created,updated
PINK11H,25564,1,1,0,2190,18,0,0,117,0,0,0,0,0,0,0,0,117,2808,2808,0,1,0.04,0,0,0,1,5/13/2019,5/13/2019
PINK11H,25565,2,1,0,2195,18,0,0,117,0,0,0,0,0,0,0,0,117,2808,2808,0,1.41,0.08,0,117,117,2,5/13/2019,5/13/2019
PINK11H,25566,3,1,0,2215,20,0,0,118,0,0,0,0,0,Increased Choke to 20,0,0,118,2832,2832,0,1.73,0.13,0,235,235,3,5/13/2019,5/13/2019
PINK11H,25567,4,1,0,2240,20,0,0,118,0,0,0,0,0,0,0,0,118,2832,2832,0,2,0.17,0,353,353,4,5/13/2019,5/13/2019
PINK11H,25568,5,1,0,2255,20,0,0,120,0,0,0,0,0,0,0,0,120,2880,2880,0,2.24,0.21,0,473,473,5,5/13/2019,5/13/2019
PINK11H,25569,6,1,0,2235,20,0,0,120,0,0,0,0,0,0,0,0,120,2880,2880,0,2.45,0.25,0,593,593,6,5/13/2019,5/13/2019
PINK11H,25570,7,1,0,2230,20,0,0,121,0,0,0,0,0,0,0,0,121,2904,2904,0,2.65,0.29,0,714,714,7,5/13/2019,5/13/2019
PINK11H,25571,8,1,0,2205,20,0,0,125,0,0,0,0,0,0,0,0,125,3000,3000,0,2.83,0.33,0,839,839,8,5/13/2019,5/13/2019
PINK11H,25572,9,1,0,2170,22,0,0,131,0,0,0,0,0,Increased Choke to 22,0,0,131,3144,3144,0,3,0.38,0,970,970,9,5/13/2019,5/13/2019
PINK11H,25573,10,1,0,2180,22,0,0,131,0,0,0,0,0,0,0,0,131,3144,3144,0,3.16,0.42,0,1101,1101,10,5/13/2019,5/13/2019
PINK11H,25574,11,1,0,2200,22,0,0,130,0,0,0,0,0,0,0,0,130,3120,3120,0,3.32,0.46,0,1231,1231,11,5/13/2019,5/13/2019
PINK11H,25575,12,1,0,2210,22,0,0,130,0,0,0,0,0,0,0,0,130,3120,3120,0,3.46,0.5,0,1361,1361,12,5/13/2019,5/13/2019
PINK11H,25576,13,1,0,2225,22,0,0,130,0,0,0,0,0,0,0,0,130,3120,3120,0,3.61,0.54,0,1491,1491,13,5/13/2019,5/13/2019
PINK11H,25577,14,1,0,2250,24,0,0,126,0,0,0,0,0,0,0,0,126,3024,3024,0,3.74,0.58,0,1617,1617,14,5/13/2019,5/13/2019
PINK11H,25578,15,1,0,2245,24,0,0,123,0,0,0,0,0,0,0,0,123,2952,2952,0,3.87,0.63,0,1740,1740,15,5/13/2019,5/13/2019
PINK11H,25579,16,1,0,2200,24,0,0,125,0,0,0,0,0,0,0,0,125,3000,3000,0,4,0.67,0,1865,1865,16,5/13/2019,5/13/2019
PINK11H,25580,17,1,0,2200,24,0,0,120,0,0,0,0,0,0,0,0,120,2880,2880,0,4.12,0.71,0,1985,1985,17,5/13/2019,5/13/2019
PINK11H,25581,18,1,0,2200,24,100,0,123,411,100,0,0,0,0,0,0,123,2952,2952,0,4.24,0.75,0,2108,2108,18,5/13/2019,5/13/2019
PINK11H,25582,19,1,0,2215,24,100,0,116,282,100,0,0,0,0,0,0,116,2784,2784,0,4.36,0.79,0,2224,2224,19,5/13/2019,5/13/2019
PINK11H,25583,20,1,0,2195,24,100,0,114,0,100,15167,0,0,0,0,0,114,2736,2736,0,4.47,0.83,0,2338,2338,20,5/13/2019,5/13/2019
PINK11H,25584,21,1,0,2170,24,100,0,115,0,100,15167,0,0,0,0,0,115,2760,2760,0,4.58,0.88,0,2453,2453,21,5/13/2019,5/13/2019
PINK11H,25585,22,1,0,2145,24,100,0,117,0,100,15167,0,0,0,0,0,117,2808,2808,0,4.69,0.92,0,2570,2570,22,5/13/2019,5/13/2019
PINK11H,25586,23,1,0,2145,24,100,0,120,0,100,15167,0,0,0,0,0,120,2880,2880,0,4.8,0.96,0,2690,2690,23,5/13/2019,5/13/2019
PINK11H,25587,24,1,0,2150,24,100,0,117,0,100,15167,0,0,0,0,0,117,2808,2808,0,4.9,1,0,2807,2807,24,5/13/2019,5/13/2019
PINK11H,25588,25,1,0,2145,26,100,0,128,382,100,15167,0,0,0,0,0,128,3072,3072,0,5,1.04,0,2935,2935,25,5/13/2019,5/13/2019
PINK11H,25589,26,1,0,2205,26,100,21,105,350,100,15167,0,0,0,83.33,694.44,126,3024,2520,504,5.1,1.08,21,233,382,26,5/13/2019,5/13/2019
PINK11H,25590,27,1,0,2175,26,100,41,99,360,100,15167,0,0,0,70.71,365.85,140,3360,2376,984,5.2,1.13,41,99,140,27,5/13/2019,5/13/2019
PINK11H,25591,28,1,0,2165,26,100,35,148,864,100,15167,0,0,0,80.87,1028.57,183,4392,3552,840,5.29,1.17,76,247,463,28,5/13/2019,5/13/2019
PINK11H,25592,29,1,0,2150,26,100,42,107,912,100,15167,0,0,0,71.81,904.76,149,3576,2568,1008,5.39,1.21,42,107,149,29,5/13/2019,5/13/2019
PINK11H,25593,30,1,0,2126,26,100,37,127,816,100,15167,0,0,0,77.44,918.92,164,3936,3048,888,5.48,1.25,79,234,462,30,5/13/2019,5/13/2019
