data_well_name,id,data_hour,data_bhp,data_tubing_psi,data_csg_psi,data_choke_size,data_sep_psi,data_oil_rate,data_water_rate,data_gas_rate,data_flowline_psi,data_chlorides,data_sand_percent,data_h2s,data_remarks,water_cut,gas_oil_ratio,total_fluid_bph,total_fluid_bpd,water_24,oil_24,,,,,,,,
PINK11H,25564,1,1,0,2190,18,0,0,117,0,0,0,0,0,0,0,0,117,2808,2808,0,,,,,,,,
PINK11H,25565,2,1,0,2195,18,0,0,117,0,0,0,0,0,0,0,0,117,2808,2808,0,,,,,,,,
PINK11H,25566,3,1,0,2215,20,0,0,118,0,0,0,0,0,Increased Choke to 20,0,0,118,2832,2832,0,,,,,,,,
PINK11H,25567,4,1,0,2240,20,0,0,118,0,0,0,0,0,0,0,0,118,2832,2832,0,,,,,,,,
PINK11H,25568,5,1,0,2255,20,0,0,120,0,0,0,0,0,0,0,0,120,2880,2880,0,,,,,,,,
PINK11H,25569,6,1,0,2235,20,0,0,120,0,0,0,0,0,0,0,0,120,2880,2880,0,,,,,,,,
PINK11H,25570,7,1,0,2230,20,0,0,121,0,0,0,0,0,0,0,0,121,2904,2904,0,,,,,,,,
PINK11H,25571,8,1,0,2205,20,0,0,125,0,0,0,0,0,0,0,0,125,3000,3000,0,,,,,,,,
PINK11H,25572,9,1,0,2170,22,0,0,131,0,0,0,0,0,Increased Choke to 22,0,0,131,3144,3144,0,,,,,,,,
PINK11H,25573,10,1,0,2180,22,0,0,131,0,0,0,0,0,0,0,0,131,3144,3144,0,,,,,,,,
PINK11H,25574,11,1,0,2200,22,0,0,130,0,0,0,0,0,0,0,0,130,3120,3120,0,,,,,,,,
PINK11H,25575,12,1,0,2210,22,0,0,130,0,0,0,0,0,0,0,0,130,3120,3120,0,,,,,,,,
PINK11H,25576,13,1,0,2225,22,0,0,130,0,0,0,0,0,0,0,0,130,3120,3120,0,,,,,,,,
PINK11H,25577,14,1,0,2250,24,0,0,126,0,0,0,0,0,0,0,0,126,3024,3024,0,,,,,,,,
PINK11H,25578,15,1,0,2245,24,0,0,123,0,0,0,0,0,0,0,0,123,2952,2952,0,,,,,,,,
PINK11H,25579,16,1,0,2200,24,0,0,125,0,0,0,0,0,0,0,0,125,3000,3000,0,,,,,,,,
PINK11H,25580,17,1,0,2200,24,0,0,120,0,0,0,0,0,0,0,0,120,2880,2880,0,,,,,,,,
PINK11H,25581,18,1,0,2200,24,100,0,123,411,100,0,0,0,0,0,0,123,2952,2952,0,,,,,,,,
PINK11H,25582,19,1,0,2215,24,100,0,116,282,100,0,0,0,0,0,0,116,2784,2784,0,,,,,,,,
PINK11H,25583,20,1,0,2195,24,100,0,114,0,100,15167,0,0,0,0,0,114,2736,2736,0,,,,,,,,
PINK11H,25584,21,1,0,2170,24,100,0,115,0,100,15167,0,0,0,0,0,115,2760,2760,0,,,,,,,,
PINK11H,25585,22,1,0,2145,24,100,0,117,0,100,15167,0,0,0,0,0,117,2808,2808,0,,,,,,,,
PINK11H,25586,23,1,0,2145,24,100,0,120,0,100,15167,0,0,0,0,0,120,2880,2880,0,,,,,,,,
PINK11H,25587,24,1,0,2150,24,100,0,117,0,100,15167,0,0,0,0,0,117,2808,2808,0,,,,,,,,
PINK11H,25588,25,1,0,2145,26,100,0,128,382,100,15167,0,0,0,0,0,128,3072,3072,0,,,,,,,,
PINK11H,25589,26,1,0,2205,26,100,21,105,350,100,15167,0,0,0,83.33,694.44,126,3024,2520,504,,,,,,,,
PINK11H,25590,27,1,0,2175,26,100,41,99,360,100,15167,0,0,0,70.71,365.85,140,3360,2376,984,,,,,,,,
PINK11H,25591,28,1,0,2165,26,100,35,148,864,100,15167,0,0,0,80.87,1028.57,183,4392,3552,840,,,,,,,,
PINK11H,25592,29,1,0,2150,26,100,42,107,912,100,15167,0,0,0,71.81,904.76,149,3576,2568,1008,,,,,,,,
PINK11H,25593,30,1,0,2126,26,100,37,127,816,100,15167,0,0,0,77.44,918.92,164,3936,3048,888,,,,,,,,
PINK11H,25594,31,1,0,2110,26,100,32,132,816,100,15167,0,0,0,80.49,1062.5,164,3936,3168,768,,,,,,,,
PINK11H,25595,32,1,0,2110,26,100,35,129,792,100,15167,0,0,0,78.66,942.86,164,3936,3096,840,,,,,,,,
PINK11H,25596,33,1,0,2105,26,100,40,127,840,100,15167,0,0,0,76.05,875,167,4008,3048,960,,,,,,,,
PINK11H,25597,34,1,0,2105,26,100,40,127,840,100,15167,0,0,0,76.05,875,167,4008,3048,960,,,,,,,,
PINK11H,25598,35,1,0,2100,26,100,36,140,810,100,15167,0,0,0,79.55,937.5,176,4224,3360,864,,,,,,,,
PINK11H,25599,36,1,0,2095,26,100,30,123,768,100,15167,0,0,0,80.39,1066.67,153,3672,2952,720,,,,,,,,
PINK11H,25600,37,1,0,2090,26,100,38,116,864,100,15167,0,0,0,75.32,947.37,154,3696,2784,912,,,,,,,,
PINK11H,25601,38,1,0,2085,26,100,32,121,840,100,15167,0,0,0,79.08,1093.75,153,3672,2904,768,,,,,,,,
PINK11H,25602,39,1,0,2080,26,100,36,131,855,100,15167,0,0,0,78.44,989.58,167,4008,3144,864,,,,,,,,
PINK11H,25603,40,1,0,2070,26,100,33,137,873,100,15167,0,0,0,80.59,1102.27,170,4080,3288,792,,,,,,,,
PINK11H,25604,41,1,0,2065,26,100,37,132,865,100,15167,0,0,0,78.11,974.1,169,4056,3168,888,,,,,,,,
PINK11H,25605,42,1,0,2060,26,100,33,131,860,100,15167,0,0,0,79.88,1085.86,164,3936,3144,792,,,,,,,,
PINK11H,25606,43,1,0,2055,26,100,30,134,893,100,15167,0,0,0,81.71,1240.28,164,3936,3216,720,,,,,,,,
PINK11H,25607,44,1,0,2050,26,100,41,122,845,100,15167,0,0,0,74.85,858.74,163,3912,2928,984,,,,,,,,
PINK11H,25608,45,1,0,2040,28,100,47,134,931,100,15167,0.5,0,0,74.03,825.35,181,4344,3216,1128,,,,,,,,
PINK11H,25609,46,1,0,2030,28,100,40,165,916,100,15167,0.5,0,0,80.49,954.17,205,4920,3960,960,,,,,,,,
PINK11H,25610,47,1,0,2020,28,100,38,151,926,100,15167,0.5,0,0,79.89,1015.35,189,4536,3624,912,,,,,,,,
