well_name,flowback_days,liquid_rate,surface_pressure,temp,gor,water_cut,fbhp,sand_hr,cum_sand,choke
Becker 3h,1,1,0.666666667,100,0.1,0.99,4545.78,0,0,20
Becker 3h,1.041666667,1,0.708333333,100,0.1,0.99,4545.82,0,0,22
Becker 3h,1.083333333,1,0.75,100,0.1,0.99,4545.87,0,0,22
Becker 3h,1.125,72,0.791666667,100,1.5,0,4522.17,0,0,22
Becker 3h,1.166666667,168,0.833333333,100,0.655,0,4526.58,0,0,22
Becker 3h,1.208333333,312,0.875,100,0.343,0,4530.75,0,0,22
Becker 3h,1.25,504,0.916666667,100,0.2,0,4533.24,0,0,22
Becker 3h,1.291666667,2352,0.958333333,100,0.157,0.724489796,4037.56,0.2,0.2,22
Becker 3h,1.333333333,2952,1,100,0.165,0.788617886,4136.59,0.2,0.4,22
Becker 3h,1.375,3624,0.041666667,100,0.151,0.821192053,4216.89,0.2,0.6,22
Becker 3h,1.416666667,4224,0.083333333,100,0.144,0.852272727,4285.98,0.2,0.8,22
Becker 3h,1.458333333,4896,0.125,100,0.15,0.867647059,4308.06,0.2,1,23
Becker 3h,1.5,5640,0.166666667,100,0.147,0.876595745,4334.17,0.2,1.2,23
Becker 3h,1.541666667,6384,0.208333333,100,0.136,0.887218045,4366.45,0.2,1.4,23
Becker 3h,1.583333333,7056,0.25,100,0.138,0.901360544,4391,0.2,1.6,23
Becker 3h,1.625,7848,0.291666667,100,0.129,0.905198777,4407.99,0.2,1.8,23
Becker 3h,1.666666667,8688,0.333333333,100,0.121,0.908839779,4425.91,0.2,2,23
Becker 3h,1.708333333,9432,0.375,100,0.122,0.918575064,4443.06,0.2,2.2,23
Becker 3h,1.75,10200,0.416666667,100,0.122,0.924705882,4455.71,0.2,2.4,23
Becker 3h,1.791666667,10968,0.458333333,100,0.122,0.929978118,4467.28,0.2,2.6,23
Becker 3h,1.833333333,11832,0.5,100,0.115,0.931034483,4477.04,0.2,2.8,23
Becker 3h,1.875,12600,0.541666667,100,0.119,0.937142857,4487.96,0.2,3,23
Becker 3h,1.916666667,13440,0.583333333,100,0.115,0.939285714,4497.77,0.2,3.2,23
Becker 3h,1.958333333,14256,0.625,100,0.114,0.942760943,4508.05,0.2,3.4,23
Becker 3h,2,15072,0.666666667,100,0.114,0.945859873,4517.54,0.2,3.6,23
Becker 3h,2.041666667,15936,0.708333333,100,0.111,0.947289157,4526.34,0.2,3.8,23
Becker 3h,2.083333333,16776,0.75,100,0.111,0.949928469,4535.73,0.2,4,23
Becker 3h,2.125,17736,0.791666667,100,0.11,0.947225981,4539.08,0.2,4.2,24
Becker 3h,2.166666667,18552,0.833333333,100,0.107,0.948253558,4547.72,0.2,4.4,24
Becker 3h,2.208333333,19200,0.875,100,0.102,0.95,4556.94,0.2,4.6,24
Becker 3h,2.25,19656,0.916666667,100,0.104,0.951159951,4561.39,0.2,4.8,24
Becker 3h,2.291666667,19968,0.958333333,100,0.103,0.951923077,4565.31,0.2,5,24
Becker 3h,2.333333333,20256,1,100,0.108,0.953791469,4568.5,0.2,5.2,24
Becker 3h,2.375,20592,0.041666667,100,0.102,0.953379953,4571.43,0.2,5.4,24
Becker 3h,2.416666667,20880,0.083333333,100,0.107,0.955172414,4574.62,0.2,5.6,24
Becker 3h,2.458333333,21216,0.125,100,0.1,0.954751131,4580.86,0.2,5.8,24
Becker 3h,2.5,21480,0.166666667,100,0.101,0.955307263,4583.56,0.2,6,24
Becker 3h,2.541666667,21672,0.208333333,100,0.105,0.956810631,4586.02,0.2,6.2,24
Becker 3h,2.583333333,21960,0.25,100,0.1,0.956284153,4589.35,0.2,6.4,24
Becker 3h,2.625,22176,0.291666667,100,0.099,0.956709957,4592.13,0.2,6.6,24
Becker 3h,2.666666667,22344,0.333333333,100,0.097,0.957035446,4594.66,0.2,6.8,24
Becker 3h,2.708333333,22536,0.375,100,0.101,0.957401491,4595.72,0.1,6.9,24
Becker 3h,2.75,22728,0.416666667,100,0.098,0.957761352,4598.81,0.1,7,24
Becker 3h,2.791666667,22920,0.458333333,100,0.099,0.958115183,4600.75,0.1,7.1,24
Becker 3h,2.833333333,23064,0.5,100,0.098,0.958376691,4602.72,0.1,7.2,24
Becker 3h,2.875,23280,0.541666667,100,0.097,0.957731959,4604.21,0.1,7.3,24
Becker 3h,2.916666667,23400,0.583333333,100,0.099,0.958974359,4606.38,0.1,7.4,24
Becker 3h,2.958333333,23544,0.625,100,0.098,0.95922528,4608.35,0.1,7.5,24
Becker 3h,3,23736,0.666666667,100,0.098,0.958543984,4609.32,0.1,7.6,24
Becker 3h,3.041666667,23784,0.708333333,100,0.1,0.960645812,4611.96,0.1,7.7,24
Becker 3h,3.083333333,23928,0.75,100,0.099,0.959879639,4612.65,0.1,7.8,24
Becker 3h,3.125,23952,0.791666667,100,0.097,0.95991984,4613.51,0.1,7.9,24
Becker 3h,3.166666667,23952,0.833333333,100,0.098,0.95991984,4613.29,0.1,8,24
Becker 3h,3.208333333,23904,0.875,100,0.096,0.960843373,4614.59,0.1,8.1,24
Becker 3h,3.25,23976,0.916666667,100,0.095,0.958958959,4613.23,0.1,8.2,24
Becker 3h,3.291666667,24000,0.958333333,100,0.096,0.959,4613.29,0.1,8.3,24
Becker 3h,3.333333333,24000,1,100,0.096,0.96,4614.59,0.1,8.4,24
Becker 3h,3.375,24048,0.041666667,100,0.096,0.959081836,4612.7,0.1,8.5,24
Becker 3h,3.416666667,24144,0.083333333,100,0.096,0.958250497,4612.62,0.1,8.6,24
Becker 3h,3.458333333,24096,0.125,100,0.098,0.960159363,4614.07,0.1,8.7,24
Becker 3h,3.5,24096,0.166666667,100,0.097,0.960159363,4614.39,0.1,8.8,24
Becker 3h,3.541666667,24072,0.208333333,100,0.101,0.96111665,4614.37,0.1,8.9,24
Becker 3h,3.583333333,24144,0.25,100,0.095,0.959244533,4614.35,0.1,9,24
Becker 3h,3.625,24120,0.291666667,100,0.097,0.960199005,4614.82,0.1,9.1,24
Becker 3h,3.666666667,24072,0.333333333,100,0.101,0.96111665,4614.53,0.1,9.2,24
Becker 3h,3.708333333,24096,0.375,100,0.098,0.960159363,4614.38,0.1,9.3,24
Becker 3h,3.75,24144,0.416666667,100,0.095,0.959244533,4614.55,0.1,9.4,24
Becker 3h,3.791666667,24312,0.458333333,100,0.102,0.956564659,4610.81,0.1,9.5,26
Becker 2h,1,1,0.666666667,100,0.1,0.99,4545.78,0,0,20
Becker 2h,1.041666667,96,0.708333333,100,0.333,0,4532.59,0,0,22
Becker 2h,1.083333333,72,0.75,100,1.25,0,4523.28,0,0,22
Becker 2h,1.125,96,0.791666667,100,0.865,0,4525.6,0,0,22
Becker 2h,1.166666667,168,0.833333333,100,0.583,0,4527.76,0,0,22
Becker 2h,1.208333333,360,0.875,100,0.278,0,4531.91,0,0,22
Becker 2h,1.25,456,0.916666667,100,0.211,0,4533.11,0,0,22
Becker 2h,1.291666667,2496,0.958333333,100,0.147,0.75,4101.79,0,0,22
