Q_liq,psi,temp,gor,wcut,ID,TVD,fbhp
2521,189.2,240,1.849,0.808409361,6.094,10282,2970.132
2368,187.12,241,1.976,0.809121622,6.094,10282,2957.65
2216,181.64,242,1.979,0.809115523,6.094,10282,2940.044
2182,173.18,243,1.807,0.810265811,6.094,10282,2958.886
1961,69.85,244,2.083,0.821009689,6.094,10282,2922.069
3551,3285.39,251,24.8,0.995775838,6.094,10041,7785.876
5621,3076.69,252,13.295,0.989147838,6.094,10041,7558.94
6303,2952.62,253,9.254,0.99000476,6.094,10041,7390.544
6275,2850.27,254,17.314,0.994422311,6.094,10041,7272.818
6585,2760.31,255,7.069,0.984510251,6.094,10041,7158.931
7030,2677.42,256,2.668,0.952062589,6.094,10041,7054.814
7287,2598.13,257,2.144,0.94195142,6.094,10041,6963.65
7344,2513.32,258,2.215,0.937908497,6.094,10041,6876.548
7933,2359.81,259,2.141,0.925753183,6.094,10041,6726.339
7224,2239.97,260,1.896,0.913621262,6.094,10041,6590.427
8681,2065.14,261,2.55,0.934454556,6.094,10041,6403.532
8525,1941.93,262,2.796,0.940293255,6.094,10041,6251.568
8384,1844.05,263,3.139,0.941793893,6.094,10041,6133.257
8395,1601.39,265,2.819,0.920547945,6.094,10041,5858.266
8492,1506.52,266,2.61,0.915685351,6.094,10041,5738.415
7690,1432.36,267,2.237,0.915084525,6.094,10041,5653.02
7644,1347.1,268,2.484,0.916797488,6.094,10041,5566.343
6815,1299.58,269,1.48,0.915627293,6.094,10041,5422.488
7428,1193.05,270,2.351,0.917878298,6.094,10041,5357.343
7430,1155.23,271,2.279,0.914131898,6.094,10041,5293.029
7415,1143.23,272,2.791,0.919217802,6.094,10041,5312.151
7247,1112.66,273,2.511,0.920656824,6.094,10041,5239.832
7176,1084.71,274,2.754,0.923076923,6.094,10041,5198.552
6960,1053.03,275,2.616,0.920689655,6.094,10041,5159.046
6770,1014.5,276,2.426,0.921713442,6.094,10041,5104.42
6440,981.81,277,2.711,0.920496894,6.094,10041,5061.972
5760,953.56,278,2.644,0.916666667,6.094,10041,5021.848
5159,924.91,279,2.565,0.909090909,6.094,10041,4985.144
5160,897.87,280,2.468,0.90755814,6.094,10041,4948.532
