calc_days,data_well_name_id,total_fluid_bpd
0.042,COOPER 12H,1104
0.042,COOPER 14H,24
0.083,COOPER 12H,2256
0.083,COOPER 14H,2208
0.125,COOPER 12H,2664
0.125,COOPER 14H,2736
0.167,COOPER 12H,2208
0.167,COOPER 14H,2904
0.208,COOPER 12H,2112
0.208,COOPER 14H,3072
0.250,COOPER 12H,2784
0.250,COOPER 14H,3696
0.292,COOPER 12H,2976
0.292,COOPER 14H,4608
0.333,COOPER 12H,3168
0.333,COOPER 14H,4656
0.375,COOPER 12H,3408
0.375,COOPER 14H,4656
0.417,COOPER 12H,3336
0.417,COOPER 14H,4416
0.458,COOPER 12H,3408
0.458,COOPER 14H,5832
0.500,COOPER 12H,3288
0.500,COOPER 14H,5856
0.542,COOPER 12H,3336
0.542,COOPER 14H,6168
0.583,COOPER 12H,3288
0.583,COOPER 14H,6048
0.625,COOPER 12H,3288
0.625,COOPER 14H,6168
0.667,COOPER 12H,3576
0.667,COOPER 14H,6024
0.708,COOPER 12H,3720
0.708,COOPER 14H,5976
0.750,COOPER 12H,3624
0.750,COOPER 14H,6120
0.792,COOPER 12H,3888
0.792,COOPER 14H,5904
0.833,COOPER 12H,3840
0.833,COOPER 14H,5808
0.875,COOPER 12H,3888
0.875,COOPER 14H,6024
0.917,COOPER 12H,3984
0.917,COOPER 14H,5808
0.958,COOPER 12H,4032
0.958,COOPER 14H,5832
1.000,COOPER 12H,4080
1.000,COOPER 14H,6024
1.042,COOPER 12H,4152
1.042,COOPER 14H,6096
1.083,COOPER 12H,4584
1.083,COOPER 14H,6048
1.125,COOPER 12H,4728
1.125,COOPER 14H,6000
1.167,COOPER 12H,4752
1.167,COOPER 14H,6048
1.208,COOPER 12H,4944
1.208,COOPER 14H,5904
1.250,COOPER 12H,4992
1.250,COOPER 14H,5976
1.292,COOPER 12H,4848
1.292,COOPER 14H,5880
1.333,COOPER 12H,4704
1.333,COOPER 14H,5880
1.375,COOPER 12H,4776
1.375,COOPER 14H,5832
1.417,COOPER 12H,4656
1.417,COOPER 14H,5808
1.458,COOPER 12H,4704
1.458,COOPER 14H,5856
1.500,COOPER 12H,4560
1.500,COOPER 14H,6048
1.542,COOPER 12H,4680
1.542,COOPER 14H,6096
1.583,COOPER 12H,4824
1.583,COOPER 14H,6024
1.625,COOPER 12H,4752
1.625,COOPER 14H,5976
1.667,COOPER 12H,4704
1.667,COOPER 14H,5976
1.708,COOPER 12H,4704
1.708,COOPER 14H,5808
1.750,COOPER 12H,4632
1.750,COOPER 14H,5688
1.792,COOPER 12H,4704
1.792,COOPER 14H,5592
1.833,COOPER 12H,4680
1.833,COOPER 14H,5736
1.875,COOPER 12H,4632
1.875,COOPER 14H,5736
1.917,COOPER 12H,4632
1.917,COOPER 14H,5544
1.958,COOPER 12H,4632
1.958,COOPER 14H,5496
2.000,COOPER 12H,4608
2.000,COOPER 14H,5448
2.042,COOPER 12H,4608
2.042,COOPER 14H,5496
2.083,COOPER 12H,4632
2.083,COOPER 14H,5640
2.125,COOPER 12H,4560
2.125,COOPER 14H,5568
2.167,COOPER 12H,4632
2.167,COOPER 14H,5568
2.208,COOPER 12H,4560
2.208,COOPER 14H,5496
2.250,COOPER 12H,4680
2.250,COOPER 14H,5592
2.292,COOPER 12H,4752
2.292,COOPER 14H,5544
2.333,COOPER 12H,4824
2.333,COOPER 14H,6960
2.375,COOPER 12H,4920
2.375,COOPER 14H,6984
2.417,COOPER 12H,4920
2.417,COOPER 14H,7032
2.458,COOPER 12H,4848
2.458,COOPER 14H,7008
2.500,COOPER 12H,5016
2.500,COOPER 14H,6984
2.542,COOPER 12H,4992
2.542,COOPER 14H,6912
2.583,COOPER 12H,4968
2.583,COOPER 14H,6792
2.625,COOPER 12H,5040
2.625,COOPER 14H,6816
2.667,COOPER 12H,5088
2.667,COOPER 14H,6816
2.708,COOPER 12H,5112
2.708,COOPER 14H,6696
2.750,COOPER 12H,5136
2.750,COOPER 14H,6816
2.792,COOPER 12H,5112
2.792,COOPER 14H,6720
2.833,COOPER 12H,5136
2.833,COOPER 14H,6888
2.875,COOPER 12H,5160
2.875,COOPER 14H,6744
2.917,COOPER 12H,5160
2.917,COOPER 14H,6720
2.958,COOPER 12H,5448
2.958,COOPER 14H,6696
3.000,COOPER 12H,5424
3.000,COOPER 14H,6600
3.042,COOPER 12H,5448
3.042,COOPER 14H,6672
3.083,COOPER 12H,5520
3.083,COOPER 14H,6624
3.125,COOPER 12H,5760
3.125,COOPER 14H,6648
3.167,COOPER 12H,5664
3.167,COOPER 14H,6600
3.208,COOPER 12H,5856
3.208,COOPER 14H,6528
3.250,COOPER 12H,5976
3.250,COOPER 14H,6624
3.292,COOPER 12H,5952
3.292,COOPER 14H,6576
3.333,COOPER 12H,5808
3.333,COOPER 14H,6576
3.375,COOPER 12H,5904
3.375,COOPER 14H,6504
3.417,COOPER 12H,5904
3.417,COOPER 14H,6456
3.458,COOPER 12H,5904
3.458,COOPER 14H,6576
3.500,COOPER 12H,5976
3.500,COOPER 14H,6480
3.542,COOPER 12H,5880
3.542,COOPER 14H,6408
3.583,COOPER 12H,5928
3.583,COOPER 14H,6576
3.625,COOPER 12H,5928
3.625,COOPER 14H,6504
3.667,COOPER 12H,5904
3.667,COOPER 14H,6528
3.708,COOPER 12H,5928
3.708,COOPER 14H,6648
3.750,COOPER 12H,5904
3.750,COOPER 14H,6600
3.792,COOPER 12H,5904
3.792,COOPER 14H,6624
3.833,COOPER 12H,5904
3.833,COOPER 14H,6600
3.875,COOPER 12H,5976
3.875,COOPER 14H,6648
3.917,COOPER 12H,6264
3.917,COOPER 14H,6600
3.958,COOPER 12H,6216
3.958,COOPER 14H,6576
4.000,COOPER 12H,6144
4.000,COOPER 14H,6648
4.042,COOPER 12H,6168
4.042,COOPER 14H,6528
4.083,COOPER 12H,6192
4.083,COOPER 14H,6504
4.125,COOPER 12H,6264
4.125,COOPER 14H,6600
4.167,COOPER 12H,6360
4.167,COOPER 14H,6552
4.208,COOPER 12H,6240
4.208,COOPER 14H,6456
4.250,COOPER 12H,6240
4.250,COOPER 14H,6360
4.292,COOPER 12H,6360
4.292,COOPER 14H,6432
4.333,COOPER 12H,6264
4.333,COOPER 14H,6360
4.375,COOPER 12H,6192
4.375,COOPER 14H,6432
4.417,COOPER 12H,6264
4.417,COOPER 14H,6480
4.458,COOPER 12H,6192
4.458,COOPER 14H,7152
4.500,COOPER 12H,6240
4.500,COOPER 14H,6384
4.542,COOPER 12H,6144
4.542,COOPER 14H,6456
4.583,COOPER 12H,6168
4.583,COOPER 14H,6480
4.625,COOPER 12H,6168
4.625,COOPER 14H,6456
4.667,COOPER 12H,6144
4.667,COOPER 14H,6384
4.708,COOPER 12H,6168
4.708,COOPER 14H,6336
4.750,COOPER 12H,6216
4.750,COOPER 14H,6312
4.792,COOPER 12H,6360
4.792,COOPER 14H,6360
4.833,COOPER 12H,6336
4.833,COOPER 14H,6312
4.875,COOPER 12H,6432
4.875,COOPER 14H,6336
4.917,COOPER 12H,6432
4.917,COOPER 14H,6312
4.958,COOPER 12H,6408
4.958,COOPER 14H,6264
5.000,COOPER 12H,6384
5.000,COOPER 14H,6240
5.042,COOPER 12H,6408
5.042,COOPER 14H,6240
5.083,COOPER 12H,6432
5.083,COOPER 14H,6240
5.125,COOPER 12H,6504
5.125,COOPER 14H,6144
5.167,COOPER 12H,6600
5.167,COOPER 14H,6072
5.208,COOPER 12H,6576
5.208,COOPER 14H,6024
5.250,COOPER 12H,6552
5.250,COOPER 14H,6048
5.292,COOPER 12H,6672
5.292,COOPER 14H,6000
5.333,COOPER 12H,6624
5.333,COOPER 14H,6048
5.375,COOPER 12H,6576
5.375,COOPER 14H,6024
5.417,COOPER 12H,6600
5.417,COOPER 14H,6288
5.458,COOPER 12H,6480
5.458,COOPER 14H,6360
5.500,COOPER 12H,6600
5.500,COOPER 14H,6264
5.542,COOPER 12H,6504
5.542,COOPER 14H,6312
5.583,COOPER 12H,6576
5.583,COOPER 14H,6312
5.625,COOPER 12H,6552
5.625,COOPER 14H,6288
5.667,COOPER 12H,6600
5.667,COOPER 14H,6240
5.708,COOPER 12H,6528
5.708,COOPER 14H,6144
5.750,COOPER 12H,6528
5.750,COOPER 14H,6216
5.792,COOPER 12H,6552
5.792,COOPER 14H,6264
5.833,COOPER 12H,6552
5.833,COOPER 14H,6192
5.875,COOPER 12H,6552
5.875,COOPER 14H,6240
5.917,COOPER 12H,6528
5.917,COOPER 14H,6168
5.958,COOPER 12H,6552
5.958,COOPER 14H,6216
6.000,COOPER 12H,6528
6.000,COOPER 14H,6120
6.042,COOPER 12H,6576
6.042,COOPER 14H,8304
6.083,COOPER 12H,6528
6.083,COOPER 14H,8160
6.125,COOPER 12H,6528
6.125,COOPER 14H,8136
6.167,COOPER 12H,6408
6.167,COOPER 14H,8064
6.208,COOPER 12H,6456
6.208,COOPER 14H,7992
6.250,COOPER 12H,6504
6.250,COOPER 14H,7992
6.292,COOPER 12H,6432
6.292,COOPER 14H,8016
6.333,COOPER 12H,6432
6.333,COOPER 14H,7968
6.375,COOPER 12H,6264
6.375,COOPER 14H,7968
6.417,COOPER 12H,6168
6.417,COOPER 14H,7896
6.458,COOPER 12H,6192
6.458,COOPER 14H,7896
6.500,COOPER 12H,6144
6.500,COOPER 14H,8040
6.542,COOPER 12H,6168
6.542,COOPER 14H,7920
6.583,COOPER 12H,6072
6.583,COOPER 14H,7920
6.625,COOPER 12H,6072
6.625,COOPER 14H,7896
6.667,COOPER 12H,6024
6.667,COOPER 14H,7824
6.708,COOPER 12H,6024
6.708,COOPER 14H,7896
6.750,COOPER 12H,6072
6.750,COOPER 14H,7800
6.792,COOPER 12H,6024
6.792,COOPER 14H,7824
6.833,COOPER 12H,6024
