well,hours,liquid_rate,wellhead_psi,wellhead_temp,gor,water_cut,Flowpath,ID,fbhp,PI,cumulative fluid,mbt
SILVERTIP 76-7 UNIT A 5H,1,3030,3638,100,3.819984985,0.78019802,csg,4.774,6968.83,11.17998672,3030,1
SILVERTIP 76-7 UNIT A 5H,2,5717,3483,100,2.654706343,0.7766311,csg,4.774,7039.85,28.585,8747,1.529998251
SILVERTIP 76-7 UNIT A 5H,3,8716,3475,100,2.603306011,0.748049564,csg,4.774,7001.34,36.54354115,17463,2.003556677
SILVERTIP 76-7 UNIT A 5H,4,9312,3146,100,2.692888307,0.753865979,csg,4.774,6666.19,16.23261165,26775,2.875322165
SILVERTIP 76-7 UNIT A 5H,5,11129,2976,100,2.754059936,0.748135502,csg,4.774,6496.27,14.96678232,37904,3.405876539
SILVERTIP 76-7 UNIT A 5H,6,11705,3056,100,2.709426425,0.749765058,csg,4.774,6609.81,18.57818551,49609,4.238274242
SILVERTIP 76-7 UNIT A 5H,7,13422,2710,100,2.744644604,0.741096707,csg,4.774,6253.47,13.60733186,63031,4.696095962
SILVERTIP 76-7 UNIT A 5H,8,929,1361,100,2.685299539,0.766415501,csg,4.774,4895.39,0.396253295,63960,68.8482239
SILVERTIP 76-7 UNIT A 5H,10,9541,2743,100,2.740788804,0.752856095,csg,4.774,6227.37,9.423396018,73501,7.703699822
SILVERTIP 76-7 UNIT A 5H,11,13280,2594,100,2.713618219,0.705722892,csg,4.774,6036.56,11.03640851,86781,6.534713855
SILVERTIP 76-7 UNIT A 5H,12,12531,2871,100,2.71973944,0.709041577,csg,4.774,6323.6,13.67639836,99312,7.925305243
SILVERTIP 76-7 UNIT A 5H,13,12517,2418,100,2.689972444,0.710074299,csg,4.774,5834.95,8.909530927,111829,8.934169529
SILVERTIP 76-7 UNIT A 5H,14,13788,2418,100,2.67968041,0.702712504,csg,4.774,5856.77,9.969054574,125617,9.110603423
SILVERTIP 76-7 UNIT A 5H,15,14068,2418,100,2.645472613,0.706710264,csg,4.774,5883.97,10.37554946,139685,9.929272107
SILVERTIP 76-7 UNIT A 5H,16,13999,2418,100,2.697583761,0.707907708,csg,4.774,5872.23,10.23603048,153684,10.97821273
SILVERTIP 76-7 UNIT A 5H,17,13965,2418,100,2.681062591,0.704833512,csg,4.774,5867.24,10.17404798,167649,12.00494092
SILVERTIP 76-7 UNIT A 5H,18,13667,2418,100,2.675816251,0.703738933,csg,4.774,5856.38,9.87878306,181316,13.26670081
SILVERTIP 76-7 UNIT A 5H,19,13383,1240,100,2.680329477,0.702906673,csg,4.774,4346.53,4.625482145,194699,14.54823283
SILVERTIP 76-7 UNIT A 5H,20,13217,1974,100,2.681101243,0.701823409,csg,4.774,5320.01,6.884427869,207916,15.73095256
SILVERTIP 76-7 UNIT A 5H,21,13049,1924,100,2.680215385,0.701126523,csg,4.774,5253.04,6.567814738,220965,16.93348149
SILVERTIP 76-7 UNIT A 5H,22,11399,1923,100,2.679228007,0.706816387,csg,4.774,5219.45,5.641952089,232364,20.38459514
SILVERTIP 76-7 UNIT A 5H,23,12624,1880,100,2.719267643,0.702550697,csg,4.774,5178.11,6.122983499,244988,19.40652725
SILVERTIP 76-7 UNIT A 5H,24,12403,1843,100,2.699627346,0.699266307,csg,4.774,5122.22,5.857019404,257391,20.75231799
SILVERTIP 76-7 UNIT A 5H,25,12225,1843,100,2.67083266,0.696441718,csg,4.774,5117.17,5.759228899,269616,22.05447853
