well_name,flowback_days,liquid_rate,surface_pressure,temp,gor,water_cut,fbhp,sand_hr,cum_sand,choke
Griffin 2h,1,1,1981,100,0.1,0.99,7170.83,0,0,14
Griffin 2h,1.041666667,816,1964,100,0.1,1,7186.54,0,0,14
Griffin 2h,1.083333333,1128,1921,100,2.448,0.744680851,5965.6,0,0,16
Griffin 2h,1.125,1392,1994,100,3.135,0.862068966,6402,0,0,18
Griffin 2h,1.166666667,1848,1980,100,3.008,0.857142857,6438.2,0,0,20
Griffin 2h,1.208333333,1896,2057,100,3.524,0.848101266,6370.83,0,0,22
Griffin 2h,1.25,2376,2006,100,4.391,0.838383838,6157.97,0,0,25
Griffin 2h,1.291666667,2760,1966,100,3.081,0.808695652,6333.9,0,0,28
Griffin 2h,1.333333333,3048,1938,100,3.663,0.803149606,6208.62,0,0,30
Griffin 2h,1.375,3024,1940,100,3.856,0.80952381,6190.53,0,0,30
Griffin 2h,1.416666667,3096,1942,100,3.299,0.790697674,6256.69,0,0,30
Griffin 2h,1.458333333,3000,1938,100,3.894,0.808,6167.06,0,0,30
Griffin 2h,1.5,3048,1936,100,4.012,0.803149606,6131.61,14,14,30
Griffin 2h,1.541666667,2928,1924,100,3.567,0.795081967,6148.46,4,18,30
Griffin 2h,1.583333333,3000,1918,100,3.606,0.808,6205.35,10,28,30
Griffin 2h,1.625,2928,1911,100,4.021,0.803278689,6068.75,11,39,30
Griffin 2h,1.666666667,3024,1906,100,3.342,0.801587302,6229.56,8,47,30
Griffin 2h,1.708333333,3000,1892,100,3.268,0.8,6217.71,14,61,30
Griffin 2h,1.75,3072,1891,100,3.422,0.8125,6251.45,14,75,30
Griffin 2h,1.791666667,2808,1885,100,3.241,0.803418803,6184.65,15,90,30
Griffin 2h,1.833333333,3096,1872,100,3.372,0.813953488,6252.1,14,104,30
Griffin 2h,1.875,3120,1861,100,3.872,0.807692308,6107.01,13,117,30
Griffin 2h,1.916666667,1152,2285,100,0,0.666666667,7184.07,0,117,0
Griffin 2h,1.958333333,2136,1712,100,4.208,0.786516854,5515.59,15,132,30
Griffin 2h,2,3240,1845,100,3.73,0.82962963,6249.14,14,146,30
Griffin 2h,2.041666667,3336,1774,100,3.697,0.820143885,6149.94,17,163,33
Griffin 2h,2.083333333,3576,1735,100,4.077,0.818791946,6087.65,21,184,35
Griffin 2h,2.125,3672,1745,100,3.652,0.810457516,6178.51,26,210,35
