well_name,hour,date,csg_psi,tbg_psi,choke1,sep_psi,battery_sep_psi,oil,water,gas,wellhead_temp,flowline_psi,chlorides,sand,h2s,remarks,choke2
Janey 81h,1,43611.95833,2641,0,16,0,0,0,130,0,107,0,0,0,0,opened well at 2215hrs. Flowing thru casing to manifold to tanks.,0
Janey 81h,2,43612,2568,0,16,0,0,0,126,0,105,0,0,0,0,Flowing thru casing to manifold to tanks.,0
Janey 81h,3,43612.04167,2553,0,16,0,0,0,122,0,108,0,0,0,0,Flowing thru casing to manifold to tanks.,0
Janey 81h,4,43612.08333,2542,0,19,0,0,0,85,0,110,0,0,0,0,Flowing thru casing to manifold to tanks. Changed chokes 19/128,0
Janey 81h,5,43612.125,2541,0,21,0,0,0,110,0,108,0,23052,0,0,Flowing thru casing to manifold to tanks. Changed chokes 21/128,0
Janey 81h,6,43612.16667,2600,0,24,0,0,0,110,0,109,0,23052,0,0,Flowing thru casing to manifold to tanks.  Changed chokes to 23/128,0
Janey 81h,7,43612.20833,2619,0,24,0,0,0,123,0,101,0,23052,0,0,Flowing thru casing to manifold to tanks.  Changed chokes to 24/128,0
Janey 81h,8,43612.25,2603,0,24,0,0,0,125,0,91,0,23052,0,0,Flowing thru casing to sand trap to manifold to separator to tanks.,0
Janey 81h,9,43612.29167,2607,0,26,188,0,0,145,0,96,0,23052,0.25,0,Flowing thru casing to sand trap to manifold to separator to tanks.,0
Janey 81h,10,43612.33333,2622,0,26,182,0,0,144,960,104,100,23052,0.25,0,"Flowing Well trhough SKO, manifold and separator. Sent gast to facility at 8:00am",0
Janey 81h,11,43612.375,2641,0,26,186,0,2,158,984,113,100,23052,0.25,0,"Flowing well through SKO, manifold and separator, Gat to facility.",0
Janey 81h,12,43612.41667,2630,0,26,188,79,3,145,1003,118,100,23052,0.5,0,"Flowing well through SKO, manifold and separator, Gat to facility.",0
Janey 81h,13,43612.45833,2630,0,26,194,80,4,141,1008,119,100,20741,0.5,0,"Flowing well through SKO, manifold and separator, Gat to facility.",0
Janey 81h,14,43612.5,2624,0,26,188,79,4,146,864,120,100,20741,0.5,0,"Flowing well through SKO, manifold and separator, Gat to facility.",0
Janey 81h,15,43612.54167,2612,0,26,197,124,7,146,792,122,100,20741,0.5,0,"Flowing Well through SKO, manifold and separator, Gat to facility. Bumped choke up to 28 size.",0
Janey 81h,16,43612.58333,2616,0,28,198,116,10,151,1224,125,105,20741,1,0,"Flowing Well through SKO, manifold and separator. Gas and Oil to facility.",0
