well_name,flowback_days,liquid_rate,surface_pressure,temp,gor,water_cut,fbhp,sand_hr,cum_sand,choke
Griffin 2h,1,1,1270,100,0.1,0.99,6466.38,0,0,14
Griffin 2h,1.041666667,816,1268,100,0.1,1,6462.99,0,0,14
Griffin 2h,1.083333333,1128,1260,100,58.75,0.744680851,2322.31,0,0,16
Griffin 2h,1.125,1392,1258,100,75.25,0.862068966,2483.27,0,0,18
Griffin 2h,1.166666667,1848,1240,100,72.182,0.857142857,2516.76,0,0,20
Griffin 2h,1.208333333,1896,1235,100,84.583,0.848101266,2462.92,0,0,22
Griffin 2h,1.25,2376,1211,100,105.375,0.838383838,2447.4,0,0,25
Griffin 2h,1.291666667,2760,1188,100,73.955,0.808695652,2463.78,0,0,28
Griffin 2h,1.333333333,3048,1170,100,87.92,0.803149606,2465.84,0,0,30
Griffin 2h,1.375,3024,1160,100,92.542,0.80952381,2450.88,0,0,30
Griffin 2h,1.416666667,3096,1153,100,79.185,0.790697674,2441.51,0,0,30
Griffin 2h,1.458333333,3000,1146,100,93.458,0.808,2426.29,0,0,30
Griffin 2h,1.5,3048,1141,100,96.28,0.803149606,2428.51,14,14,30
Griffin 2h,1.541666667,2928,1135,100,85.6,0.795081967,2391.58,4,18,30
Griffin 2h,1.583333333,3000,1129,100,86.542,0.808,2399.07,10,28,30
Griffin 2h,1.625,2928,1124,100,96.5,0.803278689,2383.89,11,39,30
Griffin 2h,1.666666667,3024,1116,100,80.2,0.801587302,2380.07,8,47,30
Griffin 2h,1.708333333,3000,1110,100,78.44,0.8,2366.96,14,61,30
Griffin 2h,1.75,3072,1105,100,82.125,0.8125,2377.23,14,75,30
Griffin 2h,1.791666667,2808,1095,100,77.783,0.803418803,2319.42,15,90,30
Griffin 2h,1.833333333,3096,1088,100,80.917,0.813953488,2356.52,14,104,30
Griffin 2h,1.875,3120,1081,100,92.92,0.807692308,2349.15,13,117,30
Griffin 2h,1.916666667,1152,885,100,0,0.666666667,5732.54,0,117,0
Griffin 2h,1.958333333,2136,874,100,101,0.786516854,1869.03,15,132,30
Griffin 2h,2,3240,1045,100,89.522,0.82962963,2321.92,14,146,30
Griffin 2h,2.041666667,3336,1061,100,88.72,0.820143885,2354.67,17,163,33
