well_name,flowback_days,liquid_rate,surface_pressure,temp,gor,water_cut,fbhp,sand_hr,cum_sand,choke
Griffin 2h,1,1,1981,100,0.1,0.99,7182.44,0,0,14
Griffin 2h,1.041666667,816,1964,100,0.1,1,7163.91,0,0,14
Griffin 2h,1.083333333,1128,1921,100,2.448,0.744680851,6182.87,0,0,16
Griffin 2h,1.125,1392,1994,100,3.135,0.862068966,6550.64,0,0,18
Griffin 2h,1.166666667,1848,1980,100,3.008,0.857142857,6500.04,0,0,20
Griffin 2h,1.208333333,1896,2057,100,3.524,0.848101266,6475.44,0,0,22
Griffin 2h,1.25,2376,2006,100,4.391,0.838383838,6221.63,0,0,25
Griffin 2h,1.291666667,2760,1966,100,3.081,0.808695652,6228.58,0,0,28
Griffin 2h,1.333333333,3048,1938,100,3.663,0.803149606,5864.42,0,0,30
Griffin 2h,1.375,3024,1940,100,3.856,0.80952381,5851.17,0,0,30
Griffin 2h,1.416666667,3096,1942,100,3.299,0.790697674,5908.64,0,0,30
Griffin 2h,1.458333333,3000,1938,100,3.894,0.808,5833.14,0,0,30
Griffin 2h,1.5,3048,1936,100,4.012,0.803149606,5728.42,14,14,30
Griffin 2h,1.541666667,2928,1924,100,3.567,0.795081967,5876.64,4,18,30
Griffin 2h,1.583333333,3000,1918,100,3.606,0.808,5919.28,10,28,30
Griffin 2h,1.625,2928,1911,100,4.021,0.803278689,5739.99,11,39,30
Griffin 2h,1.666666667,3024,1906,100,3.342,0.801587302,5947.8,8,47,30
Griffin 2h,1.708333333,3000,1892,100,3.268,0.8,5951.9,14,61,30
Griffin 2h,1.75,3072,1891,100,3.422,0.8125,5956.28,14,75,30
Griffin 2h,1.791666667,2808,1885,100,3.241,0.803418803,6035.57,15,90,30
Griffin 2h,1.833333333,3096,1872,100,3.372,0.813953488,5950.71,14,104,30
Griffin 2h,1.875,3120,1861,100,3.872,0.807692308,5689.74,13,117,30
Griffin 2h,1.916666667,1152,2285,100,0,0.666666667,7139.26,0,117,0
Griffin 2h,1.958333333,2136,1712,100,4.208,0.786516854,5620.46,15,132,30
Griffin 2h,2,3240,1845,100,3.73,0.82962963,5844.4,14,146,30
Griffin 2h,2.041666667,3336,1774,100,3.697,0.820143885,5678.53,17,163,33
Griffin 2h,2.083333333,3576,1735,100,4.077,0.818791946,5525.01,21,184,35
Griffin 2h,2.125,3672,1745,100,3.652,0.810457516,5599.44,26,210,35
Griffin 2h,2.166666667,3696,1691,100,3.369,0.805194805,5587.24,24,234,37
Griffin 2h,2.208333333,4056,1673,100,3.729,0.810650888,5486.46,31,265,38
Griffin 2h,2.25,3816,1678,100,4.058,0.811320755,5411.86,35,300,38
Griffin 2h,2.291666667,4080,1675,100,3.249,0.794117647,5546.16,32,332,38
Griffin 2h,2.333333333,3864,1670,100,3.9,0.813664596,5454.03,37,369,38
Griffin 2h,2.375,3888,1668,100,3.368,0.808641975,5575.16,34,403,38
Griffin 2h,2.416666667,4056,1667,100,3.788,0.804733728,5431.14,36,439,38
Griffin 2h,2.458333333,3912,1665,100,3.56,0.803680982,5483.75,32,471,38
Griffin 2h,2.5,3768,1650,100,3.257,0.802547771,5554.08,47,518,40
Griffin 2h,2.541666667,4152,1599,100,3.665,0.797687861,5334.42,142,660,40
Griffin 2h,2.583333333,4128,1605,100,4.117,0.819767442,5346.14,35,695,42
Griffin 2h,2.625,4272,1558,100,3.796,0.803370787,5271.68,53,748,45
Griffin 2h,2.666666667,4464,1501,100,3.885,0.806451613,5183.67,60,808,47
Griffin 2h,2.708333333,4536,1461,100,3.845,0.804232804,5124.07,60,868,49
Griffin 2h,2.75,4824,1440,100,3.608,0.7960199,5117.28,52,920,49
Griffin 2h,2.791666667,4848,1445,100,3.575,0.801980198,5166.99,62,982,50
Griffin 2h,2.833333333,4704,1426,100,3.743,0.795918367,5055.46,71,1053,52
Griffin 2h,2.875,4776,1409,100,3.982,0.804020101,5007.57,100,1153,54
