well_name,flowback_days,liquid_rate,surface_pressure,temp,gor,water_cut,fbhp,sand_hr,cum_sand,choke
Griffin 2h,1,1,1270,100,0.1,0.99,6466.38,0,0,14
Griffin 2h,1.041666667,816,1268,100,0.1,1,6462.99,0,0,14
Griffin 2h,1.083333333,1128,1260,100,2.448,0.744680851,5486.54,0,0,16
Griffin 2h,1.125,1392,1258,100,3.135,0.862068966,5769.86,0,0,18
Griffin 2h,1.166666667,1848,1240,100,3.008,0.857142857,5695.5,0,0,20
Griffin 2h,1.208333333,1896,1235,100,3.524,0.848101266,5552.85,0,0,22
Griffin 2h,1.25,2376,1211,100,4.391,0.838383838,5054.62,0,0,25
Griffin 2h,1.291666667,2760,1188,100,3.081,0.808695652,5140.13,0,0,28
Griffin 2h,1.333333333,3048,1170,100,3.663,0.803149606,4712.23,0,0,30
Griffin 2h,1.375,3024,1160,100,3.856,0.80952381,4669.39,0,0,30
Griffin 2h,1.416666667,3096,1153,100,3.299,0.790697674,4745.05,0,0,30
Griffin 2h,1.458333333,3000,1146,100,3.894,0.808,4623.32,0,0,30
Griffin 2h,1.5,3048,1141,100,4.012,0.803149606,4546.44,14,14,30
Griffin 2h,1.541666667,2928,1135,100,3.567,0.795081967,4666.89,4,18,30
Griffin 2h,1.583333333,3000,1129,100,3.606,0.808,4721.62,10,28,30
Griffin 2h,1.625,2928,1124,100,4.021,0.803278689,4513.59,11,39,30
Griffin 2h,1.666666667,3024,1116,100,3.342,0.801587302,4761.66,8,47,30
Griffin 2h,1.708333333,3000,1110,100,3.268,0.8,4782.47,14,61,30
Griffin 2h,1.75,3072,1105,100,3.422,0.8125,4777.1,14,75,30
Griffin 2h,1.791666667,2808,1095,100,3.241,0.803418803,4857.14,15,90,30
Griffin 2h,1.833333333,3096,1088,100,3.372,0.813953488,4778.26,14,104,30
Griffin 2h,1.875,3120,1081,100,3.872,0.807692308,4512.91,13,117,30
Griffin 2h,1.916666667,1152,885,100,0,0.666666667,5732.54,0,117,0
Griffin 2h,1.958333333,2136,874,100,4.208,0.786516854,4013.21,15,132,30
Griffin 2h,2,3240,1045,100,3.73,0.82962963,4644.51,14,146,30
Griffin 2h,2.041666667,3336,1061,100,3.697,0.820143885,4618.3,17,163,33
