calc_days,data_well_name_id,total_fluid_bpd
0.042,COOPER 11H,24
0.042,COOPER 12H,1104
0.042,COOPER 13H,1056
0.042,COOPER 14H,24
0.042,COOPER 15H,24
0.042,COOPER 81H,24
0.042,COOPER 82H,1248
0.042,COOPER 83H,984
0.042,COOPER 84H,24
0.083,COOPER 11H,2472
0.083,COOPER 12H,2256
0.083,COOPER 13H,1944
0.083,COOPER 14H,2208
0.083,COOPER 15H,2328
0.083,COOPER 81H,2688
0.083,COOPER 82H,2544
0.083,COOPER 83H,1944
0.083,COOPER 84H,1896
0.125,COOPER 11H,2592
0.125,COOPER 12H,2664
0.125,COOPER 13H,3072
0.125,COOPER 14H,2736
0.125,COOPER 15H,2904
0.125,COOPER 81H,2832
0.125,COOPER 82H,2760
0.125,COOPER 83H,3144
0.125,COOPER 84H,2568
0.167,COOPER 11H,2736
0.167,COOPER 12H,2208
0.167,COOPER 13H,3096
0.167,COOPER 14H,2904
0.167,COOPER 15H,3072
0.167,COOPER 81H,2976
0.167,COOPER 82H,1992
0.167,COOPER 83H,3072
0.167,COOPER 84H,2664
0.208,COOPER 11H,2808
0.208,COOPER 12H,2112
0.208,COOPER 13H,3048
0.208,COOPER 14H,3072
0.208,COOPER 15H,3120
0.208,COOPER 81H,3096
0.208,COOPER 82H,1896
0.208,COOPER 83H,3072
0.208,COOPER 84H,2904
0.250,COOPER 11H,3168
0.250,COOPER 12H,2784
0.250,COOPER 13H,3024
0.250,COOPER 14H,3696
0.250,COOPER 15H,2160
0.250,COOPER 81H,3048
0.250,COOPER 82H,2856
0.250,COOPER 83H,2976
0.250,COOPER 84H,3144
0.292,COOPER 11H,3480
0.292,COOPER 12H,2976
0.292,COOPER 13H,2928
0.292,COOPER 14H,4608
0.292,COOPER 15H,2664
0.292,COOPER 81H,3144
0.292,COOPER 82H,3096
0.292,COOPER 83H,3000
0.292,COOPER 84H,3552
0.333,COOPER 11H,3648
0.333,COOPER 12H,3168
0.333,COOPER 13H,2976
0.333,COOPER 14H,4656
0.333,COOPER 15H,3192
0.333,COOPER 81H,3048
0.333,COOPER 82H,3240
0.333,COOPER 83H,3024
0.333,COOPER 84H,4344
0.375,COOPER 11H,3768
0.375,COOPER 12H,3408
0.375,COOPER 13H,2856
0.375,COOPER 14H,4656
0.375,COOPER 15H,3024
0.375,COOPER 81H,3168
0.375,COOPER 82H,3384
0.375,COOPER 83H,3120
0.375,COOPER 84H,4464
0.417,COOPER 11H,3816
0.417,COOPER 12H,3336
0.417,COOPER 13H,2928
0.417,COOPER 14H,4416
0.417,COOPER 15H,2688
0.417,COOPER 81H,3312
0.417,COOPER 82H,3336
0.417,COOPER 83H,3024
0.417,COOPER 84H,4344
0.458,COOPER 11H,3696
0.458,COOPER 12H,3408
0.458,COOPER 13H,3048
0.458,COOPER 14H,5832
0.458,COOPER 15H,2616
0.458,COOPER 81H,2928
0.458,COOPER 82H,3216
0.458,COOPER 83H,3120
0.458,COOPER 84H,4176
0.500,COOPER 11H,3816
0.500,COOPER 12H,3288
0.500,COOPER 13H,3216
0.500,COOPER 14H,5856
0.500,COOPER 15H,2880
0.500,COOPER 81H,2976
0.500,COOPER 82H,3312
0.500,COOPER 83H,3000
0.500,COOPER 84H,4056
0.542,COOPER 11H,3768
0.542,COOPER 12H,3336
0.542,COOPER 13H,3144
0.542,COOPER 14H,6168
0.542,COOPER 15H,2616
0.542,COOPER 81H,2880
0.542,COOPER 82H,3312
0.542,COOPER 83H,2976
0.542,COOPER 84H,4104
0.583,COOPER 11H,3672
0.583,COOPER 12H,3288
0.583,COOPER 13H,3312
0.583,COOPER 14H,6048
0.583,COOPER 15H,2760
0.583,COOPER 81H,2880
0.583,COOPER 82H,3384
0.583,COOPER 83H,3168
0.583,COOPER 84H,4032
0.625,COOPER 11H,3648
0.625,COOPER 12H,3288
0.625,COOPER 13H,3384
0.625,COOPER 14H,6168
0.625,COOPER 15H,2856
0.625,COOPER 81H,2952
0.625,COOPER 82H,3432
0.625,COOPER 83H,3240
0.625,COOPER 84H,4416
0.667,COOPER 11H,3696
0.667,COOPER 12H,3576
0.667,COOPER 13H,3336
0.667,COOPER 14H,6024
0.667,COOPER 15H,2856
0.667,COOPER 81H,3120
0.667,COOPER 82H,3552
0.667,COOPER 83H,3432
0.667,COOPER 84H,4560
0.708,COOPER 11H,3624
0.708,COOPER 12H,3720
0.708,COOPER 13H,3312
0.708,COOPER 14H,5976
0.708,COOPER 15H,2952
0.708,COOPER 81H,3024
0.708,COOPER 82H,3648
0.708,COOPER 83H,3456
0.708,COOPER 84H,4632
0.750,COOPER 11H,3552
0.750,COOPER 12H,3624
0.750,COOPER 13H,3432
0.750,COOPER 14H,6120
0.750,COOPER 15H,2832
0.750,COOPER 81H,3072
0.750,COOPER 82H,3624
0.750,COOPER 83H,3552
0.750,COOPER 84H,4848
0.792,COOPER 11H,3600
0.792,COOPER 12H,3888
0.792,COOPER 13H,3480
0.792,COOPER 14H,5904
0.792,COOPER 15H,2712
0.792,COOPER 81H,3000
0.792,COOPER 82H,3792
0.792,COOPER 83H,3504
0.792,COOPER 84H,4992
0.833,COOPER 11H,3528
0.833,COOPER 12H,3840
0.833,COOPER 13H,3480
0.833,COOPER 14H,5808
0.833,COOPER 15H,2976
0.833,COOPER 81H,2904
0.833,COOPER 82H,3888
0.833,COOPER 83H,3504
0.833,COOPER 84H,4824
0.875,COOPER 11H,3480
0.875,COOPER 12H,3888
0.875,COOPER 13H,3504
0.875,COOPER 14H,6024
0.875,COOPER 15H,2880
0.875,COOPER 81H,3120
0.875,COOPER 82H,3864
0.875,COOPER 83H,3576
0.875,COOPER 84H,4944
0.917,COOPER 11H,3456
0.917,COOPER 12H,3984
0.917,COOPER 13H,3480
0.917,COOPER 14H,5808
0.917,COOPER 15H,2808
0.917,COOPER 81H,3048
0.917,COOPER 82H,3960
0.917,COOPER 83H,3528
0.917,COOPER 84H,4824
0.958,COOPER 11H,3648
0.958,COOPER 12H,4032
0.958,COOPER 13H,3552
0.958,COOPER 14H,5832
0.958,COOPER 15H,2784
0.958,COOPER 81H,2904
0.958,COOPER 82H,4032
0.958,COOPER 83H,3528
0.958,COOPER 84H,4824
1.000,COOPER 11H,3576
1.000,COOPER 12H,4080
1.000,COOPER 13H,3840
1.000,COOPER 14H,6024
1.000,COOPER 15H,2928
1.000,COOPER 81H,2976
1.000,COOPER 82H,4104
1.000,COOPER 83H,3600
1.000,COOPER 84H,4920
1.042,COOPER 11H,3576
1.042,COOPER 12H,4152
1.042,COOPER 13H,3912
1.042,COOPER 14H,6096
1.042,COOPER 15H,2832
