well_name,flowback_days,liquid_rate,surface_pressure,temp,gor,water_cut,fbhp,sand_hr,cum_sand,choke
Potomac 1H,1,1,4008,100,0.1,0.99,9223.93,30,30,16
Potomac 1H,1.041666667,3048,4008,100,40.216,0.708661417,6053.05,39,69,16
Potomac 1H,1.083333333,2304,4018,100,33.176,0.645833333,6034.42,42,111,16
Potomac 1H,1.125,4296,4018,100,33.951,0.770949721,6274.42,21,132,16
Potomac 1H,1.166666667,3144,4013,100,34.5,0.755725191,6202.45,11,143,16
Potomac 1H,1.208333333,4128,4005,100,36.878,0.761627907,6197.35,7,150,16
Potomac 1H,1.25,3720,3999,100,35.077,0.748387097,6176.14,7,157,16
Potomac 1H,1.291666667,4080,3993,100,37.395,0.747058824,6149.44,6,163,16
Potomac 1H,1.333333333,4080,3984,100,34.364,0.741176471,6163.48,6,169,16
Potomac 1H,1.375,3576,3982,100,38.27,0.751677852,6121.61,6,175,16
Potomac 1H,1.416666667,3672,3959,100,35.1,0.738562092,6110.24,4,179,16
Potomac 1H,1.458333333,3528,3922,100,43.297,0.74829932,5999.89,30,209,16
Potomac 1H,1.5,3744,3914,100,40.775,0.743589744,6009.9,10,219,16
Potomac 1H,1.541666667,3912,3910,100,1.439,0.748466258,8375.94,13,232,16
Potomac 1H,1.583333333,4416,3901,100,1.347,0.733695652,8365.1,13,245,16
Potomac 1H,1.625,4536,3895,100,1.587,0.756613757,8333.69,13,258,16
Potomac 1H,1.666666667,4080,3932,100,1.619,0.752941176,8349.74,18,276,16
Potomac 1H,1.708333333,2352,3904,100,2.107,0.714285714,8068.37,22,298,16
Potomac 1H,1.75,3216,3865,100,1.471,0.746268657,8311.92,7,305,16
Potomac 1H,1.791666667,2856,3847,100,1.543,0.705882353,8165.25,6,311,16
Potomac 1H,1.833333333,3984,3863,100,1.385,0.765060241,8389.25,6,317,18
Potomac 1H,1.875,3912,3880,100,1.714,0.785276074,8358.81,5,322,18
Potomac 1H,1.916666667,3960,3882,100,1.568,0.775757576,8377.22,3,325,18
Potomac 1H,1.958333333,4416,3852,100,1.705,0.760869565,8264.47,4,329,18
Potomac 1H,2,5376,3859,100,1.536,0.75,8298.96,35,364,20
Potomac 1H,2.041666667,4584,3864,100,1.54,0.738219895,8269.55,55,419,20
Potomac 1H,2.083333333,5472,3832,100,1.435,0.728070175,8251.57,71,490,20
Potomac 1H,2.125,5904,3797,100,1.412,0.723577236,8215.01,59,549,20
Potomac 1H,2.166666667,6144,3779,100,1.5,0.734375,8192.45,115,664,22
Potomac 1H,2.208333333,6744,3747,100,1.48,0.733096085,8166.13,95,759,22
Potomac 1H,2.25,5088,3761,100,1.607,0.712264151,8076.27,97,856,22
Potomac 1H,2.291666667,5472,3714,100,1.54,0.723684211,8082.75,110,966,22
Potomac 1H,2.333333333,6240,3721,100,1.522,0.742307692,8146.64,210,1176,24
Potomac 1H,2.375,6792,3710,100,1.507,0.74204947,8142.11,214,1390,24
