Wellname,Date_time,Temperature,Poly_1,SGx1000,Velocity_bph
Example 1h,5/22/2019 9:25:50 AM,20.912,1.206,1006.725,100
Example 1h,5/22/2019 9:25:55 AM,20.912,1.213,1006.799,100
Example 1h,5/22/2019 9:26:00 AM,20.912,1.232,1006.993,100
Example 1h,5/22/2019 9:26:05 AM,20.912,1.253,1007.121,100
Example 1h,5/22/2019 9:26:10 AM,20.912,1.254,1007.115,100
Example 1h,5/22/2019 9:26:15 AM,20.912,1.284,1007.474,100
Example 1h,5/22/2019 9:26:20 AM,20.912,1.308,1007.295,100
Example 1h,5/22/2019 9:26:25 AM,20.912,1.307,1007.47,100
Example 1h,5/22/2019 9:26:30 AM,20.912,1.355,1007.97,100
Example 1h,5/22/2019 9:26:35 AM,20.912,1.374,1007.615,100
Example 1h,5/22/2019 9:26:40 AM,20.912,1.364,1007.633,100
Example 1h,5/22/2019 9:26:45 AM,20.912,1.358,1007.57,100
Example 1h,5/22/2019 9:26:50 AM,20.912,1.333,1007.246,100
Example 1h,5/22/2019 9:26:55 AM,20.912,1.311,1007.108,100
Example 1h,5/22/2019 9:27:00 AM,20.912,1.287,1007.075,100
Example 1h,5/22/2019 9:27:05 AM,20.912,1.285,1007.412,100
Example 1h,5/22/2019 9:27:10 AM,20.912,1.313,1007.272,100
Example 1h,5/22/2019 9:27:15 AM,20.912,1.274,1007.191,100
Example 1h,5/22/2019 9:27:20 AM,20.912,1.247,1006.818,100
Example 1h,5/22/2019 9:27:25 AM,20.912,1.247,1006.952,100
Example 1h,5/22/2019 9:27:30 AM,20.912,1.261,1007.289,100
Example 1h,5/22/2019 9:27:35 AM,20.912,1.3,1007.345,100
Example 1h,5/22/2019 9:27:40 AM,20.912,1.321,1007.598,100
Example 1h,5/22/2019 9:27:45 AM,20.912,1.324,1007.414,100
Example 1h,5/22/2019 9:27:50 AM,20.912,1.277,1006.691,100
Example 1h,5/22/2019 9:27:55 AM,20.912,1.207,1006.571,100
Example 1h,5/22/2019 9:28:00 AM,20.912,1.192,1006.697,100
Example 1h,5/22/2019 9:28:05 AM,20.912,1.176,1006.407,100
Example 1h,5/22/2019 9:28:10 AM,20.912,1.151,1006.503,100
Example 1h,5/22/2019 9:28:15 AM,20.912,1.162,1006.716,100
Example 1h,5/22/2019 9:28:20 AM,20.912,1.175,1006.457,100
Example 1h,5/22/2019 9:28:25 AM,20.912,1.157,1006.475,100
Example 1h,5/22/2019 9:28:30 AM,20.912,1.149,1006.564,100
Example 1h,5/22/2019 9:28:35 AM,20.912,1.15,1006.525,100
Example 1h,5/22/2019 9:28:40 AM,20.912,1.159,1006.623,100
Example 1h,5/22/2019 9:28:45 AM,20.912,1.177,1006.853,100
Example 1h,5/22/2019 9:28:50 AM,20.912,1.23,1007.247,100
Example 1h,5/22/2019 9:28:55 AM,20.912,1.218,1006.645,100
Example 1h,5/22/2019 9:29:00 AM,20.912,1.209,1006.923,100
Example 1h,5/22/2019 9:29:05 AM,20.912,1.24,1007.037,100
Example 1h,5/22/2019 9:29:10 AM,20.912,1.247,1006.986,100
Example 1h,5/22/2019 9:29:15 AM,20.912,1.243,1007.071,100
Example 1h,5/22/2019 9:29:20 AM,20.912,1.239,1006.831,100
Example 1h,5/22/2019 9:29:25 AM,20.912,1.243,1007.19,100
Example 1h,5/22/2019 9:29:30 AM,20.912,1.272,1007.374,100
Example 1h,5/22/2019 9:29:35 AM,20.912,1.318,1007.718,100
Example 1h,5/22/2019 9:29:40 AM,20.912,1.348,1007.783,100
Example 1h,5/22/2019 9:29:45 AM,20.912,1.354,1007.304,100
Example 1h,5/22/2019 9:29:50 AM,20.912,1.304,1007.039,100
Example 1h,5/22/2019 9:29:55 AM,20.912,1.276,1007.132,100
Example 1h,5/22/2019 9:30:00 AM,20.912,1.264,1006.989,100
Example 1h,5/22/2019 9:30:05 AM,20.912,1.235,1006.697,100
Example 1h,5/22/2019 9:30:10 AM,20.912,1.198,1006.518,100
Example 1h,5/22/2019 9:30:15 AM,20.912,1.201,1006.803,100
Example 1h,5/22/2019 9:30:20 AM,20.912,1.196,1006.728,100
Example 1h,5/22/2019 9:30:25 AM,20.912,1.222,1007.133,100
Example 1h,5/22/2019 9:30:30 AM,20.912,1.248,1007.225,100
Example 1h,5/22/2019 9:30:35 AM,20.912,1.262,1007.052,100
Example 1h,5/22/2019 9:30:40 AM,20.912,1.234,1006.778,100
Example 1h,5/22/2019 9:30:45 AM,20.912,1.207,1006.567,100
Example 1h,5/22/2019 9:30:50 AM,20.912,1.195,1006.76,100
Example 1h,5/22/2019 9:30:55 AM,20.912,1.183,1006.551,100
Example 1h,5/22/2019 9:31:00 AM,20.912,1.215,1007.142,100
Example 1h,5/22/2019 9:31:05 AM,20.912,1.243,1007.076,100
Example 1h,5/22/2019 9:31:10 AM,20.912,1.239,1006.816,100
Example 1h,5/22/2019 9:31:15 AM,20.912,1.209,1006.652,100
Example 1h,5/22/2019 9:31:20 AM,20.912,1.211,1006.91,100
Example 1h,5/22/2019 9:31:25 AM,20.912,1.232,1006.995,100
Example 1h,5/22/2019 9:31:30 AM,20.912,1.262,1007.192,100
Example 1h,5/22/2019 9:31:35 AM,20.912,1.254,1007.009,100
Example 1h,5/22/2019 9:31:40 AM,20.912,1.269,1007.11,100
Example 1h,5/22/2019 9:31:45 AM,20.912,1.292,1007.516,100
Example 1h,5/22/2019 9:31:50 AM,20.912,1.32,1007.598,100
Example 1h,5/22/2019 9:31:55 AM,20.912,1.322,1007.299,100
Example 1h,5/22/2019 9:32:00 AM,20.912,1.288,1006.888,100
Example 1h,5/22/2019 9:32:05 AM,20.912,1.238,1006.883,100
