Q_liq,psi,temp,gor,wcut,ID,TVD,fbhp
2208,2960,100,0.1,0.99,6.094,10000,7295.88
2736,2990,100,0.1,0.99,6.094,10000,7326.71
2904,3025,100,0.1,0.99,6.094,10000,7362.15
3072,3015,100,0.1,0.99,6.094,10000,7352.33
3696,2920,100,0.1,0.99,6.094,10000,7257.78
4608,2985,100,3.875,0.96875,6.094,10000,7151.89
4656,2915,100,4.171296296,0.953608247,6.094,10000,6984.65
4656,2900,100,2.961805556,0.93814433,6.094,10000,6958.29
4416,2900,100,4.5625,0.956521739,6.094,10000,6970.23
5832,2840,100,1.871031746,0.913580247,6.094,10000,6896.77
5856,2830,100,1.685763889,0.901639344,6.094,10000,6873.26
6168,2825,100,1.583333333,0.902723735,6.094,10000,6885.56
6048,2820,100,1.634057971,0.908730159,6.094,10000,6890.63
6168,2815,100,1.644097222,0.906614786,6.094,10000,6878.45
6024,2795,100,1.78442029,0.908366534,6.094,10000,6845.6
5976,2790,100,1.613505747,0.883534137,6.094,10000,6792.41
6120,2785,100,1.741071429,0.890196078,6.094,10000,6787.36
5904,2780,100,1.786858974,0.894308943,6.094,10000,6787.71
5808,2770,100,1.706666667,0.896694215,6.094,10000,6795.46
6024,2765,100,1.605654762,0.888446215,6.094,10000,6781.94
5808,2750,100,1.671296296,0.888429752,6.094,10000,6756.61
5832,2735,100,1.529761905,0.884773663,6.094,10000,6753.03
6024,2725,100,1.372222222,0.880478088,6.094,10000,6758.05
6096,2715,100,1.522222222,0.881889764,6.094,10000,6726.84
6048,2710,100,1.295698925,0.876984127,6.094,10000,6747.77
6000,2705,100,1.400537634,0.876,6.094,10000,6721.84
6048,2700,100,1.233333333,0.861111111,6.094,10000,6712.76
5904,2695,100,1.170238095,0.857723577,6.094,10000,6712.6
5976,2690,100,1.263888889,0.855421687,6.094,10000,6683.49
5880,2685,100,1.352380952,0.857142857,6.094,10000,6664.5
5880,2680,100,1.337121212,0.865306122,6.094,10000,6681.79
5832,2675,100,1.31004902,0.860082305,6.094,10000,6669.52
5808,2670,100,1.462239583,0.867768595,6.094,10000,6654.55
5856,2670,100,1.076388889,0.852459016,6.094,10000,6695.82
6048,2670,100,1.221428571,0.861111111,6.094,10000,6684.78
6096,2665,100,1.412990196,0.866141732,6.094,10000,6654.92
6024,2660,100,1.380050505,0.868525896,6.094,10000,6661.62
5976,2660,100,1.366421569,0.863453815,6.094,10000,6651.77
5976,2655,100,1.292857143,0.859437751,6.094,10000,6651.47
5808,2650,100,1.255050505,0.863636364,6.094,10000,6663.1
5688,2645,100,1.486519608,0.856540084,6.094,10000,6596.26
5592,2635,100,1.287760417,0.862660944,6.094,10000,6638.9
5736,2630,100,1.267156863,0.857740586,6.094,10000,6626.86
5736,2630,100,1.41540404,0.861924686,6.094,10000,6607.98
5544,2630,100,1.175245098,0.852813853,6.094,10000,6634.37
5496,2625,100,1.36489899,0.855895197,6.094,10000,6597.65
5448,2620,100,1.398989899,0.854625551,6.094,10000,6582.76
5496,2620,100,1.279411765,0.851528384,6.094,10000,6599.63
5640,2615,100,1.068287037,0.846808511,6.094,10000,6629.94
5568,2615,100,1.236904762,0.849137931,6.094,10000,6598.19
5568,2615,100,1.073198198,0.840517241,6.094,10000,6615.95
5496,2610,100,1.166666667,0.847161572,6.094,10000,6603.71
5592,2605,100,1.199324324,0.841201717,6.094,10000,6578.85
5544,2605,100,1.188657407,0.844155844,6.094,10000,6587.49
6960,2570,100,1.151909722,0.834482759,6.094,10000,6543.28
6984,2560,100,1.169384058,0.841924399,6.094,10000,6544.94
7032,2555,100,1.199652778,0.836177474,6.094,10000,6520.73
7008,2550,100,1.074829932,0.832191781,6.094,10000,6536.81
6984,2545,100,0.959150327,0.824742268,6.094,10000,6545.91
6912,2540,100,0.877403846,0.819444444,6.094,10000,6552.08
6792,2535,100,0.900641026,0.816254417,6.094,10000,6534.92
6816,2530,100,0.953431373,0.820422535,6.094,10000,6523.67
6816,2520,100,0.839166667,0.823943662,6.094,10000,6549.22
6696,2515,100,0.934640523,0.817204301,6.094,10000,6507.12
6816,2515,100,0.931372549,0.820422535,6.094,10000,6514.2
6720,2515,100,0.987179487,0.814285714,6.094,10000,6487.93
6888,2510,100,1.018429487,0.818815331,6.094,10000,6483.76
6744,2510,100,1.04,0.822064057,6.094,10000,6484.09
6720,2505,100,0.946666667,0.821428571,6.094,10000,6501.67
