Q_liq,psi,temp,gor,wcut,ID,TVD,fbhp
6000,2200,100,1.1,0.8,6.094,10000,6351.44
3000,2200,100,1.1,0.8,6.094,10000,6332.06
2000,2200,100,1.1,0.8,6.094,10000,6330.27
6000,2800,100,1.1,0.8,6.094,10000,6961.18
6000,1100,100,1.1,0.8,6.094,10000,5154.18
6000,500,100,1.1,0.8,6.094,10000,4288.76
6000,2200,100,1.1,0.98,6.094,10000,6763.14
6000,2200,100,1.1,0.8,6.094,10000,6351.44
6000,2200,100,1.1,0.55,6.094,10000,5884.05
6000,2200,100,0.5,0.8,6.094,10000,6528.24
6000,2200,100,1.8,0.8,6.094,10000,6157.25
6000,2200,100,3,0.8,6.094,10000,5834.19
6000,2800,100,1.1,0.8,6.094,10000,6961.18
3000,1100,100,1.1,0.8,6.094,10000,5181.43
2000,500,100,1.1,0.8,6.094,10000,4453.01
1000,2800,100,1.1,0.8,6.094,10000,6931.72
4000,1100,100,1.1,0.8,6.094,10000,5144.13
6500,500,100,1.1,0.8,6.094,10000,4293.14
6000,2800,100,1.1,0.55,6.094,10000,6501.09
3000,1100,100,1.1,0.69,6.094,10000,4910.84
2000,500,100,1.1,0.92,6.094,10000,4828.38
1000,2800,100,1.1,0.99,6.094,10000,7363.16
4000,1100,100,1.1,0.65,6.094,10000,4768.84
6500,500,100,1.1,0.58,6.094,10000,3522.81
6000,2800,100,2.8,0.55,6.094,10000,5858.74
3000,1100,100,1.5,0.69,6.094,10000,4668.98
2000,500,100,0.2,0.92,6.094,10000,4990.65
1000,2800,100,0.5,0.99,6.094,10000,7373.39
4000,1100,100,1.3,0.65,6.094,10000,4627.55
6500,500,100,2.3,0.58,6.094,10000,2393.39
6000,2800,100,0.5,0.55,6.094,10000,6808.31
3000,1100,100,0.9,0.69,6.094,10000,5035.39
2000,500,100,3,0.92,6.094,10000,4460.54
1000,2800,100,2.5,0.99,6.094,10000,7345.91
4000,1100,100,1.1,0.65,6.094,10000,4768.84
6500,500,100,0.3,0.58,6.094,10000,4580.15
6000,2200,100,1.1,0.8,6.094,12500,7108.75
3000,2200,100,1.1,0.8,6.094,12500,7093.07
2000,2200,100,1.1,0.8,6.094,12500,7091.99
6000,2800,100,1.1,0.8,6.094,12500,7719.41
6000,1100,100,1.1,0.8,6.094,12500,5910.51
6000,500,100,1.1,0.8,6.094,12500,5048.59
6000,2200,100,1.1,0.98,6.094,12500,7594.17
6000,2200,100,1.1,0.8,6.094,12500,7108.75
6000,2200,100,1.1,0.55,6.094,12500,6557.15
6000,2200,100,0.5,0.8,6.094,12500,7315.63
6000,2200,100,1.8,0.8,6.094,12500,6880.53
6000,2200,100,3,0.8,6.094,12500,6518.48
6000,2800,100,1.1,0.8,6.094,12500,7719.41
3000,1100,100,1.1,0.8,6.094,12500,5941.06
2000,500,100,1.1,0.8,6.094,12500,5212.72
1000,2800,100,1.1,0.8,6.094,12500,7694.92
4000,1100,100,1.1,0.8,6.094,12500,5903.03
6500,500,100,1.1,0.8,6.094,12500,5052.02
6000,2800,100,1.1,0.55,6.094,12500,7175.35
3000,1100,100,1.1,0.69,6.094,12500,5639.62
2000,500,100,1.1,0.92,6.094,12500,5635.61
1000,2800,100,1.1,0.99,6.094,12500,8203.98
4000,1100,100,1.1,0.65,6.094,12500,5475.69
6500,500,100,1.1,0.58,6.094,12500,4207.64
6000,2800,100,2.8,0.55,6.094,12500,6426.62
3000,1100,100,1.5,0.69,6.094,12500,5369.65
2000,500,100,0.2,0.92,6.094,12500,5817
1000,2800,100,0.5,0.99,6.094,12500,8215.97
4000,1100,100,1.3,0.65,6.094,12500,5322.95
6500,500,100,2.3,0.58,6.094,12500,2920.79
6000,2800,100,0.5,0.55,6.094,12500,7536.22
3000,1100,100,0.9,0.69,6.094,12500,5769.91
2000,500,100,3,0.92,6.094,12500,5242.97
1000,2800,100,2.5,0.99,6.094,12500,8182.25
4000,1100,100,1.1,0.65,6.094,12500,5475.69
6500,500,100,0.3,0.58,6.094,12500,5329.22
6000,2200,100,1.1,0.8,6.094,7500,5132.68
3000,2200,100,1.1,0.8,6.094,7500,5132.33
2000,2200,100,1.1,0.8,6.094,7500,5134.39
6000,2800,100,1.1,0.8,6.094,7500,5740.56
6000,1100,100,1.1,0.8,6.094,7500,3939.18
6000,500,100,1.1,0.8,6.094,7500,3076.55
6000,2200,100,1.1,0.98,6.094,7500,5430.11
6000,2200,100,1.1,0.8,6.094,7500,5132.68
6000,2200,100,1.1,0.55,6.094,7500,4795.18
6000,2200,100,0.5,0.8,6.094,7500,5262.7
6000,2200,100,1.8,0.8,6.094,7500,4989.51
6000,2200,100,3,0.8,6.094,7500,4726.06
6000,2800,100,1.1,0.8,6.094,7500,5740.56
3000,1100,100,1.1,0.8,6.094,7500,3985.63
2000,500,100,1.1,0.8,6.094,7500,3263.43
1000,2800,100,1.1,0.8,6.094,7500,5736.39
4000,1100,100,1.1,0.8,6.094,7500,3943.16
6500,500,100,1.1,0.8,6.094,7500,3076.78
6000,2800,100,1.1,0.55,6.094,7500,5409.42
3000,1100,100,1.1,0.69,6.094,7500,3777.93
2000,500,100,1.1,0.92,6.094,7500,3561.81
1000,2800,100,1.1,0.99,6.094,7500,6045.14
4000,1100,100,1.1,0.65,6.094,7500,3651.64
6500,500,100,1.1,0.58,6.094,7500,2434.46
6000,2800,100,2.8,0.55,6.094,7500,4925.36
3000,1100,100,1.5,0.69,6.094,7500,3574.84
2000,500,100,0.2,0.92,6.094,7500,3691.97
1000,2800,100,0.5,0.99,6.094,7500,6052.53
4000,1100,100,1.3,0.65,6.094,7500,3533.59
6500,500,100,2.3,0.58,6.094,7500,1623.69
6000,2800,100,0.5,0.55,6.094,7500,5634.58
3000,1100,100,0.9,0.69,6.094,7500,3878.8
2000,500,100,3,0.92,6.094,7500,3237.52
1000,2800,100,2.5,0.99,6.094,7500,6035.05
4000,1100,100,1.1,0.65,6.094,7500,3651.64
6500,500,100,0.3,0.58,6.094,7500,3369.53
6000,2200,100,1.1,0.8,1.995,10000,8517.29
3000,2200,100,1.1,0.8,1.995,10000,6737.89
2000,2200,100,1.1,0.8,1.995,10000,6393.5
6000,2800,100,1.1,0.8,1.995,10000,9113.51
6000,1100,100,1.1,0.8,1.995,10000,7413.18
6000,500,100,1.1,0.8,1.995,10000,6771.9
6000,2200,100,1.1,0.98,1.995,10000,8692.12
6000,2200,100,1.1,0.8,1.995,10000,8517.29
6000,2200,100,1.1,0.55,1.995,10000,8373.84
6000,2200,100,0.5,0.8,1.995,10000,8505.76
6000,2200,100,1.8,0.8,1.995,10000,8590.57
6000,2200,100,3,0.8,1.995,10000,8731.16
6000,2800,100,1.1,0.8,1.995,10000,9113.51
3000,1100,100,1.1,0.8,1.995,10000,5566.15
2000,500,100,1.1,0.8,1.995,10000,4389.38
1000,2800,100,1.1,0.8,1.995,10000,6788.96
4000,1100,100,1.1,0.8,1.995,10000,6059.27
6500,500,100,1.1,0.8,1.995,10000,7200.95
6000,2800,100,1.1,0.55,1.995,10000,8959.42
3000,1100,100,1.1,0.69,1.995,10000,5354.2
2000,500,100,1.1,0.92,1.995,10000,4801.37
1000,2800,100,1.1,0.99,1.995,10000,7193.72
4000,1100,100,1.1,0.65,1.995,10000,5822.71
6500,500,100,1.1,0.58,1.995,10000,7113.39
6000,2800,100,2.8,0.55,1.995,10000,9750.01
3000,1100,100,1.5,0.69,1.995,10000,5202.74
2000,500,100,0.2,0.92,1.995,10000,5018.71
1000,2800,100,0.5,0.99,1.995,10000,7203.36
4000,1100,100,1.3,0.65,1.995,10000,5777.45
6500,500,100,2.3,0.58,1.995,10000,7791.9
6000,2800,100,0.5,0.55,1.995,10000,8872.28
3000,1100,100,0.9,0.69,1.995,10000,5438.15
2000,500,100,3,0.92,1.995,10000,4345.19
1000,2800,100,2.5,0.99,1.995,10000,7171.78
4000,1100,100,1.1,0.65,1.995,10000,5822.71
