Q_liq,psi,temp,gor,wcut,ID,TVD,fbhp
1635,87.11,100,1.319,0.558409786,6.094,9638,2745.59
1904,112.87,100,1.376,0.508403361,6.094,9684,2564.15
1409,136.81,100,1.567,0.470546487,6.094,9592,2287.12
4420,147.82,100,2.15,0.941176471,6.094,9892,6937.759
6863,173.62,100,1.532,0.866822089,6.094,9892,6563.88
5835,176.16,100,2.244,0.925449871,6.094,9892,6811.872
1960,180.61,100,1.4,0.583673469,6.094,10081,2632.19
1929,182.87,100,1.35,0.471747019,6.094,9937,2501.97
2696,198.28,100,1.808,0.810459941,6.094,10282,3014.817
1446,201.12,100,1.534,0.470262794,6.094,9592,2298.33
3915,202.83,100,1.46,0.887356322,6.094,10300,3969.75
4181,204.94,100,1.471,0.89547955,6.094,10300,4015.74
3123,204.99,100,1.476,0.689081012,6.094,9972,3143.28
3524,206.47,100,1.623,0.893870602,6.094,10300,3981.38
1743,206.66,100,1.33,0.441767068,6.094,9592,2303.65
3909,206.97,100,1.494,0.89434638,6.094,10300,3984.32
9140,207.18,100,1.491,0.952954048,6.094,10300,3979.4
6560,207.75,100,2.031,0.912347561,6.094,9892,6673.391
2881,208.22,100,1.847,0.807358556,6.094,10282,3062.053
4236,210.71,100,1.523,0.896600567,6.094,10300,3994.24
3730,212.38,100,1.637,0.895978552,6.094,10300,4020.92
3266,212.91,100,1.497,0.703919167,6.094,9972,3195.97
4445,213.13,100,1.465,0.896512936,6.094,10300,3989.47
1837,213.15,100,1.305,0.444202504,6.094,9592,2308.05
4422,215.25,100,1.54,0.896653098,6.094,10300,3991.31
7882,216.03,100,1.638,0.827074347,6.094,9892,6415.725
5079,238.18,100,1.516,0.896633196,6.094,10300,4044.64
1919,239.11,100,1.379,0.512767066,6.094,9684,2574.82
2042,239.35,100,1.326,0.460822723,6.094,9592,2373.97
5191,241.98,100,1.518,0.896937006,6.094,10300,4046.93
1738,242.57,100,1.349,0.570771001,6.094,9638,2886.89
1668,243.49,100,1.38,0.565947242,6.094,9638,2825.3
2222,244.56,100,1.299,0.46849685,6.094,9592,2400.04
5242,244.57,100,1.527,0.896795116,6.094,10300,4055.32
1980,244.86,100,1.43,0.515151515,6.094,9684,2599.34
2597,247.29,100,1.45,0.542164035,6.094,9897,2444.71
2491,248.15,100,1.52,0.55479727,6.094,9897,2425.87
1728,248.83,100,1.364,0.565393519,6.094,9638,2831.3
5386,248.91,100,1.488,0.896955069,6.094,10300,4067.37
2060,250.49,100,1.376,0.519902913,6.094,9684,2611.88
2655,250.6,100,1.458,0.546516008,6.094,9897,2454.96
1834,251.07,100,1.465,0.581788441,6.094,10081,2741.35
1716,251.95,100,1.294,0.560606061,6.094,9638,2863.49
1902,252.11,100,1.44,0.587802313,6.094,10081,2759.59
2869.2,252.94,100,3.012,0.75142897,6.094,9510,1731.94
5489,253.37,100,1.5,0.896884678,6.094,10300,4080.01
2177,255.7,100,1.294,0.476343592,6.094,9592,2417.71
2601,255.84,100,1.574,0.552479815,6.094,9897,2468.58
2132,255.91,100,1.391,0.528142589,6.094,9684,2619.21
1933,257.01,100,1.408,0.583031557,6.094,10081,2761.9
2274,257.05,100,1.651,0.545734389,6.094,9897,2729.03
5606,257.36,100,1.556,0.897609704,6.094,10300,4092.4
1669,257.8,100,1.449,0.569203116,6.094,9638,2891.41
2898.3,258.12,100,3.082,0.751613015,6.094,9510,1744.5
2713,258.88,100,1.554,0.558791006,6.094,9897,2466.06
3349,259,100,1.72,0.80262765,6.094,10282,3275.633
5665,261.2,100,1.545,0.897087379,6.094,10300,4104.37
1940,261.87,100,1.412,0.577319588,6.094,10081,2772.76
2233,263.02,100,1.365,0.532467532,6.094,9684,2632.4
1784,263.16,100,1.386,0.570067265,6.094,9638,2897.82
2733,264.22,100,1.576,0.551774607,6.094,9897,2489.75
2980,264.43,100,2.994,0.748120805,6.094,9510,1756.33
5681,265.81,100,1.561,0.897377222,6.094,10300,4112.79
1997,266.27,100,1.437,0.591887832,6.094,10081,2785.76
2018,266.52,100,1.394,0.490089197,6.094,9592,2508.21
2287,267.75,100,1.383,0.533449934,6.094,9684,2643.53
3095,268.02,100,1.375,0.672051696,6.094,9972,3108.96
2775,269.16,100,1.658,0.548828829,6.094,9897,2492.72
2010,269.74,100,1.44,0.586069652,6.094,10081,2787.19
2181,270.14,100,1.326,0.49656121,6.094,9592,2525.78
3001.3,270.28,100,3.037,0.745610236,6.094,9510,1768.49
6031,272.09,100,1.487,0.895539711,6.094,10300,4130.92
1882,272.14,100,1.361,0.570138151,6.094,9638,2896.82
1960,272.62,100,1.327,0.459183673,6.094,9937,2511.59
2068,274.87,100,1.432,0.595261122,6.094,10081,2812.6
3462,274.98,100,1.309,0.657712305,6.094,9972,3570.03
3500,275.3,100,1.281,0.652571429,6.094,9972,3539.19
2263,275.73,100,1.308,0.501104728,6.094,9592,2544.7
2359,276.23,100,1.366,0.527766003,6.094,9684,2657.96
5927,276.91,100,1.596,0.898430909,6.094,10300,4143.73
1912,277.47,100,1.444,0.472803347,6.094,9937,2518.74
3148.2,278.26,100,3.039,0.750937043,6.094,9510,1783.15
2955,279.33,100,1.353,0.549915398,6.094,9897,2500.09
2097,279.51,100,1.437,0.595135908,6.094,10081,2811.6
1950,279.63,100,1.363,0.573846154,6.094,9638,2898.69
