Q_liq,psi,temp,gor,wcut,ID,TVD,fbhp
6000,2200,100,1.1,0.8,6.094,100000,6351.44
3000,2200,100,1.1,0.8,6.094,100000,6332.06
2000,2200,100,1.1,0.8,6.094,100000,6330.27
6000,2800,100,1.1,0.8,6.094,100000,6961.18
6000,1100,100,1.1,0.8,6.094,100000,5154.18
6000,500,100,1.1,0.8,6.094,100000,4288.76
6000,2200,100,1.1,0.98,6.094,100000,6763.14
6000,2200,100,1.1,0.8,6.094,100000,6351.44
6000,2200,100,1.1,0.55,6.094,100000,5884.05
6000,2200,100,0.5,0.8,6.094,100000,6528.24
6000,2200,100,1.8,0.8,6.094,100000,6157.25
6000,2200,100,3,0.8,6.094,100000,5834.19
6000,2800,100,1.1,0.8,6.094,100000,6961.18
3000,1100,100,1.1,0.8,6.094,100000,5181.43
2000,500,100,1.1,0.8,6.094,100000,4453.01
1000,2800,100,1.1,0.8,6.094,100000,6931.72
4000,1100,100,1.1,0.8,6.094,100000,5144.13
6500,500,100,1.1,0.8,6.094,100000,4293.14
6000,2800,100,1.1,0.55,6.094,100000,6501.09
3000,1100,100,1.1,0.69,6.094,100000,4910.84
2000,500,100,1.1,0.92,6.094,100000,4828.38
1000,2800,100,1.1,0.99,6.094,100000,7363.16
4000,1100,100,1.1,0.65,6.094,100000,4768.84
6500,500,100,1.1,0.58,6.094,100000,3522.81
6000,2800,100,2.8,0.55,6.094,100000,5858.74
3000,1100,100,1.5,0.69,6.094,100000,4668.98
2000,500,100,0.2,0.92,6.094,100000,4990.65
1000,2800,100,0.5,0.99,6.094,100000,7373.39
4000,1100,100,1.3,0.65,6.094,100000,4627.55
6500,500,100,2.3,0.58,6.094,100000,2393.39
6000,2800,100,0.5,0.55,6.094,100000,6808.31
3000,1100,100,0.9,0.69,6.094,100000,5035.39
2000,500,100,3,0.92,6.094,100000,4460.54
1000,2800,100,2.5,0.99,6.094,100000,7345.91
4000,1100,100,1.1,0.65,6.094,100000,4768.84
6500,500,100,0.3,0.58,6.094,100000,4580.15
6000,2200,100,1.1,0.8,6.094,12500,7108.75
3000,2200,100,1.1,0.8,6.094,12500,7093.07
2000,2200,100,1.1,0.8,6.094,12500,7091.99
6000,2800,100,1.1,0.8,6.094,12500,7719.41
6000,1100,100,1.1,0.8,6.094,12500,5910.51
6000,500,100,1.1,0.8,6.094,12500,5048.59
6000,2200,100,1.1,0.98,6.094,12500,7594.17
6000,2200,100,1.1,0.8,6.094,12500,7108.75
6000,2200,100,1.1,0.55,6.094,12500,6557.15
6000,2200,100,0.5,0.8,6.094,12500,7315.63
6000,2200,100,1.8,0.8,6.094,12500,6880.53
6000,2200,100,3,0.8,6.094,12500,6518.48
6000,2200,100,1.1,0.8,6.094,7500,5132.68
3000,2200,100,1.1,0.8,6.094,7500,5132.33
2000,2200,100,1.1,0.8,6.094,7500,5134.39
6000,2800,100,1.1,0.8,6.094,7500,5740.56
6000,1100,100,1.1,0.8,6.094,7500,3939.18
6000,500,100,1.1,0.8,6.094,7500,3076.55
6000,2200,100,1.1,0.98,6.094,7500,5430.11
6000,2200,100,1.1,0.8,6.094,7500,5132.68
6000,2200,100,1.1,0.55,6.094,7500,4795.18
6000,2200,100,0.5,0.8,6.094,7500,5262.7
6000,2200,100,1.8,0.8,6.094,7500,4989.51
6000,2200,100,3,0.8,6.094,7500,4726.06
6000,2200,100,1.1,0.8,1.995,100000,8517.29
3000,2200,100,1.1,0.8,1.995,100000,6737.89
2000,2200,100,1.1,0.8,1.995,100000,6393.5
6000,2800,100,1.1,0.8,1.995,100000,9113.51
6000,1100,100,1.1,0.8,1.995,100000,7413.18
6000,500,100,1.1,0.8,1.995,100000,6771.9
6000,2200,100,1.1,0.98,1.995,100000,8692.12
6000,2200,100,1.1,0.8,1.995,100000,8517.29
6000,2200,100,1.1,0.55,1.995,100000,8373.84
6000,2200,100,0.5,0.8,1.995,100000,8505.76
6000,2200,100,1.8,0.8,1.995,100000,8590.57
6000,2200,100,3,0.8,1.995,100000,8731.16
6000,2200,100,1.1,0.8,2.441,100000,6969.48
3000,2200,100,1.1,0.8,2.441,100000,6328.98
2000,2200,100,1.1,0.8,2.441,100000,6204.85
6000,2800,100,1.1,0.8,2.441,100000,7575.46
6000,1100,100,1.1,0.8,2.441,100000,5807.82
6000,500,100,1.1,0.8,2.441,100000,5072.95
6000,2200,100,1.1,0.98,2.441,100000,7285.32
6000,2200,100,1.1,0.8,2.441,100000,6969.48
6000,2200,100,1.1,0.55,2.441,100000,6633.29
6000,2200,100,0.5,0.8,2.441,100000,7076.79
6000,2200,100,1.8,0.8,2.441,100000,6870.56
6000,2200,100,3,0.8,2.441,100000,6727.7
6000,2200,100,1.1,0.8,2.992,100000,6408.84
3000,2200,100,1.1,0.8,2.992,100000,6180.36
2000,2200,100,1.1,0.8,2.992,100000,6136.67
6000,2800,100,1.1,0.8,2.992,100000,7019.55
6000,1100,100,1.1,0.8,2.992,100000,5218.93
6000,500,100,1.1,0.8,2.992,100000,4408.03
6000,2200,100,1.1,0.98,2.992,100000,6777.11
6000,2200,100,1.1,0.8,2.992,100000,6408.84
6000,2200,100,1.1,0.55,2.992,100000,5999.52
6000,2200,100,0.5,0.8,2.992,100000,6560.08
6000,2200,100,1.8,0.8,2.992,100000,6244.14
6000,2200,100,3,0.8,2.992,100000,5992.46
6000,2200,100,1.1,0.8,4.778,100000,6126.38
3000,2200,100,1.1,0.8,4.778,100000,6107.82
2000,2200,100,1.1,0.8,4.778,100000,6106.14
6000,2800,100,1.1,0.8,4.778,100000,6737.73
6000,1100,100,1.1,0.8,4.778,100000,4925.35
6000,500,100,1.1,0.8,4.778,100000,4063.36
6000,2200,100,1.1,0.98,4.778,100000,6519.11
6000,2200,100,1.1,0.8,4.778,100000,6126.38
6000,2200,100,1.1,0.55,4.778,100000,5681.17
6000,2200,100,0.5,0.8,4.778,100000,6296.9
6000,2200,100,1.8,0.8,4.778,100000,5932.97
6000,2200,100,3,0.8,4.778,100000,5626.18
