Q_liq,psi,temp,gor,wcut,ID,TVD,fbhp
5174,1509.34,170,1.247,0.669308079,6.094,9897,5225.03
5416,1439.72,171,1.189,0.659711965,6.094,9897,5064.69
5598,1344.7,172,1.231,0.648267238,6.094,9897,4915.35
5739,1258.85,173,1.216,0.627112737,6.094,9897,4761.44
5712,1194.44,174,1.255,0.631302521,6.094,9897,4622.6
5533,1146.89,175,1.315,0.62317007,6.094,9897,4531
5472,1104.48,176,1.164,0.59996345,6.094,9897,4440.93
5389,1047.85,177,1.155,0.590090926,6.094,9897,4366.69
5558,952.78,178,1.693,0.578985246,6.094,9897,4209
5842,863.83,179,1.199,0.568127354,6.094,9897,4043.56
5959,798.48,180,1.213,0.566705823,6.094,9897,3877.81
5632,748.59,181,1.313,0.576526989,6.094,9897,3787.01
5489,704.52,182,1.349,0.580433594,6.094,9897,3678.1
5388,661.33,183,1.328,0.576651819,6.094,9897,3573.72
5297,620.12,184,1.374,0.573343402,6.094,9897,3470.22
5196,582.83,185,1.388,0.571593533,6.094,9897,3368.17
5105,552.6,186,1.397,0.571204701,6.094,9897,3277.57
4847,531.56,187,1.409,0.570249639,6.094,9897,3216.05
4743,511.84,188,1.433,0.574530888,6.094,9897,3159.74
4614,494.75,189,1.443,0.576506285,6.094,9897,3109.84
4446,479.75,190,1.565,0.573774179,6.094,9897,3070.1
4353,462.62,191,1.4,0.564208592,6.094,9897,3022.62
4230,448.44,192,1.501,0.588416076,6.094,9897,2983.24
4036,435.46,193,1.53,0.577799802,6.094,9897,2946.41
3916,424.55,194,1.445,0.557456588,6.094,9897,2915.81
3781,413.26,195,1.456,0.558582386,6.094,9897,2884.97
3612,402.71,196,1.504,0.555647841,6.094,9897,2856.86
3620,393.37,197,1.47,0.556077348,6.094,9897,2824.27
3528,383.99,198,1.503,0.560657596,6.094,9897,2795.88
3290,364.39,200,1.513,0.549240122,6.094,9897,2748.22
3313,358.82,201,1.442,0.541503169,6.094,9897,2726.2
3301,349.48,202,1.364,0.53650409,6.094,9897,2707.98
3010,338.02,203,1.493,0.535548173,6.094,9897,2686.85
2898,340.68,204,1.519,0.547619048,6.094,9897,2709.95
2883,335.5,205,1.435,0.548387097,6.094,9897,2708.05
2722,329.82,206,1.515,0.547024247,6.094,9897,2689.7
2857,323.91,207,1.422,0.541827091,6.094,9897,2676.15
2699,317.64,208,1.513,0.547980734,6.094,9897,2662.64
2630,309.02,209,1.526,0.548288973,6.094,9897,2652.88
2955,279.33,210,1.353,0.549915398,6.094,9897,2500.09
2775,269.16,211,1.658,0.548828829,6.094,9897,2492.72
2733,264.22,212,1.576,0.551774607,6.094,9897,2489.75
2713,258.88,213,1.554,0.558791006,6.094,9897,2466.06
2601,255.84,214,1.574,0.552479815,6.094,9897,2468.58
2655,250.6,215,1.458,0.546516008,6.094,9897,2454.96
2597,247.29,216,1.45,0.542164035,6.094,9897,2444.71
2491,248.15,217,1.52,0.55479727,6.094,9897,2425.87
2274,257.05,218,1.651,0.545734389,6.094,9897,2729.03
2421,231.9,219,1.545,0.545642297,6.094,9897,2432.08
7360,832.46,227,1.557,0.815217391,6.094,10282,4915.823
7229,662.86,228,1.344,0.81339051,6.094,10282,4452.483
6392,528.18,229,2.175,0.807259074,6.094,10282,4084.11
6048,416,230,1.322,0.813492063,6.094,10282,3825.62
5041,359.37,231,2.783,0.809363222,6.094,10282,3653.032
4401,321.21,232,1.268,0.801635992,6.094,10282,3522.507
4026,298.37,233,1.312,0.807252856,6.094,10282,3421.668
3452,280.15,234,1.327,0.799536501,6.094,10282,3362.787
3349,259,235,1.72,0.80262765,6.094,10282,3275.633
3071,235.52,236,1.48,0.797134484,6.094,10282,3183.936
2949,220.45,237,1.799,0.805696846,6.094,10282,3099.419
2881,208.22,238,1.847,0.807358556,6.094,10282,3062.053
2696,198.28,239,1.808,0.810459941,6.094,10282,3014.817
2521,189.2,240,1.849,0.808409361,6.094,10282,2970.132
2368,187.12,241,1.976,0.809121622,6.094,10282,2957.65
2216,181.64,242,1.979,0.809115523,6.094,10282,2940.044
2182,173.18,243,1.807,0.810265811,6.094,10282,2958.886
1961,69.85,244,2.083,0.821009689,6.094,10282,2922.069
